Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1961,8790140,32000,0.0036404426,3.6404426,6.639,,4820,0.00054834166,5.4834166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1962,8969055,32000,0.003567823,3.5678229999999997,6.639,,4820,0.00053740334,5.3740334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1963,9157463,32000,0.0034944175,3.4944175,6.639,,4820,0.0005263467,5.263467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1964,9355510,39200,0.004190044,4.190044,7.6863,,5100,0.0005451333,5.451333000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1965,9565154,43400,0.004537303,4.5373030000000005,8.0819,,5370,0.00056141283,5.6141283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1966,9783153,48400,0.0049472805,4.9472805,8.1619,,5930,0.0006061441,6.061441,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1967,10010037,58700,0.005864114,5.864114,8.8671,,6620,0.00066133623,6.6133622999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1968,10247782,59400,0.005796376,5.7963759999999995,9.166699,,6480,0.00063233194,6.3233194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1969,10494491,60000,0.0057172854,5.7172854,9.1047,,6590,0.0006279485,6.279485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1970,10752973,58100,0.005403157,5.403156999999999,8.7632,,6630,0.00061657367,6.165736699999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1971,11015853,45700,0.0041485666,4.1485666,6.8929,,6630,0.0006018599,6.018599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1972,11286753,56500,0.005005868,5.005868,8.296599,,6810,0.00060336216,6.0336216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1973,11575308,58800,0.0050797784,5.0797784,8.4604,,6950,0.000600416,6.00416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1974,11869881,59200,0.004987413,4.987412999999999,8.3734,,7070,0.0005956252,5.956252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1975,12157390,59500,0.0048941425,4.8941425,8.403999,,7080,0.0005823618,5.823618000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1976,12425276,55700,0.004482798,4.482798,7.8672,,7080,0.00056980626,5.6980626,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1977,12687308,33100,0.0026089065,2.6089065,4.6619997,,7100,0.0005596144,5.596144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1978,12938864,48300,0.0037329397,3.7329397,6.8511,,7050,0.0005448701,5.448701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1979,12986378,46000,0.0035421732,3.5421732,6.7548,,6810,0.0005243956,5.243956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1980,12486640,47500,0.0038040658,3.8040658,6.9648,,6820,0.0005461838,5.461837999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1981,11155196,47100,0.0042222477,4.2222477,7.0509,,6680,0.00059882406,5.988240599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1982,10088290,45400,0.004500267,4.500267,7.0827,,6410,0.0006353901,6.3539010000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1983,9951447,44300,0.004451614,4.451613999999999,7.1798997,,6170,0.0006200103,6.200103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
