Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,85400,0.0011988141,1.1988140999999999,6.2154293,,13740,0.00020314015,2.0314015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,79400,0.0010864967,1.0864966999999999,6.3317385,,12540,0.0001807876,1.807876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,93400,0.0012455656,1.2455656,6.8475075,,13640,0.00019170725,1.9170725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,93600,0.00121627,1.21627,5.7564573,,16260,0.00022274844,2.2274844,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,103300,0.0013077783,1.3077783,6.6473618,,15540,0.00020746759,2.0746759,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,82646,0.0010188158,1.0188158,6.249225,,13225,0.00017196509,1.7196509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,77068,0.00092452846,0.92452846,5.89295,,13078,0.00016551843,1.6551843000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,79733,0.0009308634,0.9308634,5.824178,,13690,0.00016865642,1.6865641999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,74138,0.0008426085,0.8426085,6.413322,,11560,0.00013867088,1.3867088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,82836,0.0009170243,0.9170243,6.9786015,,11870,0.00013870762,1.3870762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,91974,0.0009924828,0.9924828000000001,7.1798596,,12810,0.00014592058,1.4592057999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,72337,0.0007610927,0.7610927000000001,6.083852,,11890,0.0001320702,1.3207019999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,80761,0.000828426,0.8284260000000001,6.5077357,,12410,0.00013440411,1.3440410999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,82978,0.000829745,0.829745,6.6329336,,12510,0.00013209165,1.3209165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,82768,0.0008052104,0.8052104,6.4111543,,12910,0.00013262288,1.3262288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,96800,0.00091467926,0.91467926,6.8916416,,14046,0.00014014222,1.4014221999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,69419,0.00063801423,0.6380142299999999,5.6942825,,12191,0.00011831189,1.1831189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,94616,0.00084698194,0.84698194,7.0210743,,13476,0.0001273955,1.273955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,97572,0.00085024367,0.85024367,7.261442,,13437,0.00012366124,1.2366124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,88922,0.0007519595,0.7519595,7.085418,,12550,0.00011207199,1.1207199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,95662,0.0007844204,0.7844204,7.2548156,,13186,0.00011416871,1.1416871,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,86169,0.00068592693,0.6859269299999999,10.198722,,8449,0.00007102038,0.7102037999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,71770,0.0005543866,0.5543866000000001,11.109907,,6460,0.000052695865,0.52695865,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,75464,0.00056572235,0.5657223499999999,11.113991,,6790,0.00005375316,0.5375316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,73100,0.0005319909,0.5319908999999999,12.495727,,5850,0.0000449576,0.449576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,84485,0.0005972674,0.5972674,13.560995,,6230,0.000046509627,0.46509627,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,99180,0.000681843,0.681843,13.067194,,7590,0.000055103323,0.55103323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,91098,0.0006095386,0.6095385999999999,12.260835,,7430,0.000052499287,0.52499287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,123058,0.0008020391,0.8020391,17.346771,,7094,0.00004882513,0.48825130000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,109687,0.00069702225,0.6970222500000001,15.514427,,7070,0.000045116296,0.45116296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,105729,0.00065586687,0.65586687,15.416885,,6858,0.000042720345,0.42720345000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
