Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,63439,0.0007133157,0.7133157,5.005049,,12675,0.0001425192,1.425192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,65118,0.00071252155,0.71252155,5.0577087,,12875,0.00014087833,1.4087833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,61760,0.00065735984,0.65735984,4.796893,,12875,0.00013703866,1.3703866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,62759,0.00064967864,0.6496786400000001,4.912642,,12775,0.00013224629,1.3224628999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,66269,0.00066676066,0.66676066,4.7589946,,13925,0.00014010536,1.4010536000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,68331,0.0006677707,0.6677706999999999,4.820529,,14175,0.00013852643,1.3852643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,71416,0.00067756174,0.67756174,4.899897,,14575,0.00013828081,1.3828081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,73906,0.000680565,0.680565,4.8068943,,15375,0.00014158103,1.4158103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,76704,0.00068553776,0.68553776,4.6416945,,16525,0.00014769127,1.4769127000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,78464,0.0006806309,0.6806308999999999,4.6497183,,16875,0.00014638109,1.4638109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,80181,0.00067536836,0.67536836,4.6576242,,17215,0.00014500276,1.4500276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,86052,0.00070403423,0.70403423,4.768745,,18045,0.00014763513,1.4763513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,87090,0.0006920059,0.6920059,4.6152625,,18870,0.00014993858,1.4993858,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,97017,0.000748753,0.748753,4.8303213,,20085,0.00015501103,1.5501103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,117384,0.0008801582,0.8801582,5.6529737,,20765,0.00015569826,1.5569826,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,112374,0.0008192908,0.8192908,5.272062,,21315,0.00015540235,1.5540235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,116720,0.00082788,0.8278800000000001,4.8512053,,24060,0.00017065449,1.7065449000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,120298,0.0008293825,0.8293825,4.766165,,25240,0.00017401465,1.7401465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,131592,0.000881104,0.881104,5.3168483,,24750,0.00016571922,1.6571922000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,137343,0.0008917759,0.8917759000000001,5.4587836,,25160,0.0001633653,1.633653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,137245,0.0008642575,0.8642574999999999,5.3937907,,25445,0.00016023194,1.6023194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,140689,0.000860639,0.8606389999999999,5.434106,,25890,0.0001583773,1.583773,,,,,,,,,,,,,,,,,,,,,,,,,,,,
