Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,7015,0.000048236965,0.048236965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,7183,0.000048228503,0.048228503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,7485,0.000049063998,0.049063998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,7459,0.000047723195,0.047723194999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,7652,0.000047774127,0.047774127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,7605,0.00004632617,0.04632617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,7628,0.00004532682,0.045326820000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,7707,0.00004465887,0.044658869999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,7618,0.000043039956,0.043039956000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,7830,0.000043132564,0.043132564000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,8053,0.000043253778,0.043253778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,8065,0.000042251704,0.042251704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,8032,0.000041029558,0.041029558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,8025,0.00003994163,0.03994163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,8244,0.000039966955,0.039966955000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,8237,0.00003889233,0.03889233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,8099.2,0.00003724555,0.037245549999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,8280,0.000037103913,0.037103912999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,8156,0.00003564392,0.03564392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,7942,0.000033862056,0.033862056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,8093,0.000033573135,0.033573135000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,8302,0.00003351421,0.033514209999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
