Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,445890,0.0049012476,4.9012476000000005,0.75224084,,592749,0.00651553,65.1553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,670935,0.007215772,7.215771999999999,1.0504845,,638691,0.0068689943,68.689943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,640496,0.006736812,6.736812,0.97522116,,656770,0.0069079837,69.079837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,776551,0.007986707,7.986706999999999,1.1837957,,655984,0.006746694,67.46694000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,765306,0.0076961857,7.6961857,1.190554,,642815,0.0064643733,64.643733,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,785376,0.0077199596,7.7199596,1.1607891,,676588,0.006650613,66.50613,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,611624,0.0058736214,5.8736214,0.95901304,,637764,0.006124652,61.246520000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,780833,0.0073249093,7.3249093,1.3089145,,596550,0.0055961707,55.961707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,785304,0.0071964967,7.1964967,1.1844581,,663007,0.0060757715,60.757715000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,804482,0.007204089,7.204089000000001,1.1981621,,671430,0.006012616,60.12616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
