Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,2295.74,0.000082735714,0.082735714,,,,,,496000,0.017875245,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,2351.06,0.000082536695,0.082536695,,,,,,504000,0.017693505,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,2434.04,0.000083226594,0.083226594,,,,,,511000,0.01747251,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,2489.36,0.00008290502,0.08290502,,,,,,519000,0.017284645,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,2544.68,0.00008256996,0.08256996,,,,,,527000,0.017100135,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,2600,0.00008224429,0.08224429,,,,,,535000,0.016923346,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,2655.32,0.00008193304,0.08193304000000001,,,,,,542000,0.01672405,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,2574,0.000077519304,0.07751930400000001,,,,,,648000,0.01951535,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,2655.32,0.00007810693,0.07810692999999999,,,,,,700000,0.020590682,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,2572.34,0.000073956086,0.073956086,,,,,,695000,0.019981604,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,2738.3,0.000077013785,0.077013785,,,,,,731000,0.020559134,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,2793.62,0.000076894044,0.076894044,,,,,,751000,0.020671181,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,2848.94,0.00007674785,0.07674784999999999,,,,,,771000,0.020770038,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,2876.6,0.00007583896,0.07583896,,,,,,790000,0.020827634,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,2931.91,0.00007561227,0.07561227,,,,,,809000,0.020863645,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,2931.91,0.000073946525,0.073946525,,,,,,828000,0.020883221,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,2959.57,0.00007293649,0.07293649,,,,,,847000,0.02087371,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,3153.19,0.00007584042,0.07584041999999999,,,,,,890143,0.02140969,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,3236.17,0.000075908596,0.075908596,,,,,,919661,0.02157185,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,3319.15,0.0000758688,0.0758688,,,,,,934078,0.021351062,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,3402.13,0.00007577199,0.07577199000000001,,,,,,956109,0.02129439,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,3457.45,0.00007501738,0.07501738000000001,,,,,,960000,0.020829422,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,3485.11,0.00007359746,0.07359746,,,,,,970000,0.020484155,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,3955.32,0.00008125738,0.08125738,,,,,,1100000,0.0225982,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,3734.04,0.0000746273,0.0746273,,,,,,1010000,0.02018553,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,3761.7,0.000073150215,0.07315021499999999,,,,,,1020000,0.019834975,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,3775.53,0.00007145034,0.07145034,,,,,,1025000,0.0193977,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,3803.19,0.00007004233,0.07004233,,,,,,1035000,0.019061318,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,3927.66,0.00007043128,0.07043128,,,,,,1070000,0.01918737,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,4453.19,0.00007783306,0.07783306000000001,,,,,,1215000,0.021235827,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,4674.47,0.0000797541,0.07975410000000001,,,,,,1103000,0.018818982,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1992,671931834,4785.11,0.00007976626,0.07976626,,,,,,1125000,0.018753393,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1993,689140286,4895.74,0.0000797583,0.0797583,,,,,,1147000,0.018686198,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1994,706488557,6444.68,0.00010266178,0.10266178,,,,,,1280000,0.02039001,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1995,724331972,6859.57,0.000106901985,0.106901985,,,,,,1375000,0.02142849,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1996,742765067,7385.11,0.00011263765,0.11263765,,,,,,1370000,0.020895232,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1997,761224818,7468.09,0.00011147446,0.11147446,,,,,,1450000,0.021643816,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1998,779908311,7827.66,0.00011436255,0.11436255,,,,,,1520000,0.022207284,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1999,799099611,7910.64,0.00011315805,0.11315805000000001,,,,,,1580000,0.022601169,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2000,818952374,7965.96,0.000111612826,0.111612826,,,,,,1640000,0.022978403,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2001,839464127,7855.32,0.00010782239,0.10782239,,,,,,1073468,0.014734458,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2002,860611762,9335.11,0.00012548243,0.12548242999999998,,,,,,1156965,0.015551909,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2003,882349569,8961.7,0.000117974036,0.117974036,,,,,,1048000,0.013796131,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2004,904781595,9127.66,0.000117742195,0.11774219500000001,,,,,,1068000,0.013776659,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2005,927898412,9791.49,0.00012382487,0.12382486999999999,,,,,,1115000,0.014100482,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2006,951740562,9957.45,0.00012349611,0.12349611,,,,,,1132000,0.014039498,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2007,976461747,10234.04,0.0001244733,0.1244733,,,,,,1167000,0.014193841,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2008,1001981577,10372.34,0.00012370883,0.12370883,,,,,,1182000,0.014097478,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2009,1028200528,10538.3,0.00012325344,0.12325344,,,,,,1228000,0.014362395,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2010,1055233717,11018.27,0.0001262804,0.1262804,,,,,,1262000,0.014463783,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2011,1082676070,10947.69,0.00012273187,0.12273186999999999,,,,,,1271000,0.01424887,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2012,1110797495,10647.08,0.00011669263,0.11669263,,,,,,1205000,0.013206871,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2013,1140180888,10779.13,0.00011543556,0.11543555999999999,,,,,,1170000,0.012529732,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2014,1170299297,10510.64,0.00010995275,0.10995275,,,,,,1149000,0.0120197935,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2015,1201108186,11260.74,0.00011523029,0.11523029,,,,,,1179000,0.012064616,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2016,1232111820,10380.44,0.00010402907,0.10402907,,,,,,1089000,0.0109135695,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2017,1263333997,10214.57,0.00010035006,0.10035006,,,,,,1077000,0.010580671,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2018,1295265310,10237.67,0.000098685116,0.098685116,,,,,,1096000,0.010564796,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2019,1327701380,6002.13,0.000056828303,0.056828303000000004,,,,,,659000,0.0062394273,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2020,1360677453,5061.7,0.00004710086,0.04710086,,,,,,556000,0.005173771,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2021,1393676724,5614.89,0.000051389143,0.051389143000000005,,,,,,617000,0.0056469673,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2022,1426736614,5456.62,0.000049163125,0.049163125,,,,,,598020.1,0.0053880494,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1961,270510687,2295.74,,,,,,,,496000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1962,277177281,2351.06,,,,,,,,504000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1963,284055281,2434.04,,,,,,,,511000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1964,291157437,2489.36,,,,,,,,519000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1965,298478343,2544.68,,,,,,,,527000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1966,306022281,2600,,,,,,,,535000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1967,313800031,2655.32,,,,,,,,542000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1968,321824625,2574,,,,,,,,648000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1969,330113875,2655.32,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1970,338682843,2572.34,,,,,,,,695000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1971,347551343,2738.3,,,,,,,,731000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1972,356727468,2793.62,,,,,,,,751000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1973,366190468,2848.94,,,,,,,,771000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1974,375910812,2876.6,,,,,,,,790000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1975,385868156,2931.91,,,,,,,,809000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1976,396051500,2931.91,,,,,,,,828000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1977,406487250,2959.57,,,,,,,,847000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1978,417267750,3153.19,,,,,,,,890143,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1979,428541406,3236.17,,,,,,,,919661,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1980,440387718,3319.15,,,,,,,,934078,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1981,452847125,3402.13,,,,,,,,956109,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1982,465865593,3457.45,,,,,,,,960000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1983,479365187,3485.11,,,,,,,,970000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1984,493208562,3955.32,,,,,,,,1100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1985,507294843,3734.04,,,,,,,,1010000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1986,521607125,3761.7,,,,,,,,1020000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1987,536142812,3775.53,,,,,,,,1025000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1988,550874062,3803.19,,,,,,,,1035000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1989,565780187,3927.66,,,,,,,,1070000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1990,580821250,4453.19,,,,,,,,1215000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1991,595983750,4674.47,,,,,,,,1103000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1992,611269625,4785.11,,,,,,,,1125000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1993,620328000,4895.74,,,,,,,,1147000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1994,635998000,6444.68,,,,,,,,1280000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1995,651920000,6859.57,,,,,,,,1375000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1996,668132000,7385.11,,,,,,,,1370000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1997,684634000,7468.09,,,,,,,,1450000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1998,701408000,7827.66,,,,,,,,1520000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1999,718424000,7910.64,,,,,,,,1580000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),2000,735664000,7965.96,,,,,,,,1640000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),2001,753123000,7855.32,,,,,,,,1073468,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),2002,770857000,9335.11,,,,,,,,1156965,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),2003,788976000,8961.7,,,,,,,,1048000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),2004,807625000,9127.66,,,,,,,,1068000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),2005,826909000,9791.49,,,,,,,,1115000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),2006,846870000,9957.45,,,,,,,,1132000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),2007,867487000,10234.04,,,,,,,,1167000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),2008,888756000,10372.34,,,,,,,,1182000,,,,,,,,,,,,,,,,,,,,,,,,,,,
