Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,83000,0.0029912204,2.9912204,,,,,,496000,0.017875245,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,85000,0.0029840237,2.9840237,,,,,,504000,0.017693505,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,88000,0.0030089645,3.0089645,,,,,,511000,0.01747251,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,90000,0.0029973371,2.9973371,,,,,,519000,0.017284645,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,92000,0.0029852227,2.9852227,,,,,,527000,0.017100135,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,94000,0.0029734476,2.9734476,,,,,,535000,0.016923346,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,96000,0.0029621935,2.9621934999999997,,,,,,542000,0.01672405,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,93060,0.002802621,2.802621,,,,,,648000,0.01951535,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,96000,0.002823865,2.823865,,,,,,700000,0.020590682,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,93000,0.0026737973,2.6737973,,,,,,695000,0.019981604,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,99000,0.0027843423,2.7843423,,,,,,731000,0.020559134,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,101000,0.0027800126,2.7800126,,,,,,751000,0.020671181,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,103000,0.0027747261,2.7747261,,,,,,771000,0.020770038,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,104000,0.0027418658,2.7418658,,,,,,790000,0.020827634,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,106000,0.002733679,2.733679,,,,,,809000,0.020863645,,,,,,,,,,,,,,,,,,,,,,,,,,
