Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,350951,0.0020319019,2.0319019,21.513578,,16313,0.00009449627,0.9449627,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,347624,0.001963354,1.963354,21.700731,,16019,0.00009052171,0.9052171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,363163,0.0020002266,2.0002266,22.256725,,16317,0.000089919035,0.89919035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,400479,0.0021505654,2.1505653999999996,22.544416,,17764,0.000095445146,0.95445146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,394525,0.0020651044,2.0651044,22.732641,,17355,0.000090894886,0.90894886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,399921,0.0020398027,2.0398027,22.983965,,17400,0.00008880098,0.8880098000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,369642,0.0018364101,1.8364101,21.806501,,16951,0.00008426461,0.8426461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,424091,0.0020516862,2.0516862000000002,22.450556,,18890,0.00009144336,0.9144336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,428787,0.0020197693,2.0197693,21.60136,,19850,0.000093561626,0.93561626,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,449199,0.0020603675,2.0603675000000004,23.0666,,19474,0.00008938174,0.8938174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,451028,0.0020148791,2.0148791,22.344711,,20185,0.0000902347,0.902347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,481366,0.002094263,2.0942629999999998,22.58132,,21317,0.00009280989,0.9280989000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,505228,0.0021399744,2.1399744,22.839293,,22121,0.00009376748,0.9376748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,515656,0.0021260688,2.1260688,22.133059,,23298,0.00009613438,0.9613438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,554800,0.0022247771,2.2247771,22.257883,,24926,0.00010003824,1.0003824,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,580530,0.002262591,2.262591,22.723999,,25547,0.00009965741,0.9965741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,610074,0.0023131287,2.3131287,23.449953,,26016,0.00009873582,0.9873582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,638915,0.0023586485,2.3586484999999997,24.012138,,26608,0.000098328404,0.9832840399999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,639927,0.0022999323,2.2999323,23.083725,,27722,0.00009974294,0.9974294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,694876,0.002429589,2.429589,23.261005,,29873,0.00010456751,1.0456751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,745066,0.002528537,2.528537,23.772886,,31341,0.00010648558,1.0648558,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,765522,0.0025233794,2.5233794,24.459917,,31297,0.00010328476,1.0328476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,761616,0.0024375303,2.4375302999999997,23.496513,,32414,0.00010386232,1.0386232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,766028,0.0023813054,2.3813054,24.219933,,31628,0.00009843702,0.9843702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,800435,0.0024185944,2.4185944000000004,24.30569,,32932,0.00009962796,0.9962796,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,827463,0.00242765,2.42765,24.67608,,33533,0.00009850331,0.9850331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,842658,0.0023974879,2.3974879000000002,25.104511,,33566,0.000095623334,0.9562333399999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,880691,0.0024295913,2.4295913000000002,24.572166,,35841,0.00009900749,0.9900749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,767340,0.00205377,2.05377,22.212767,,34545,0.00009258813,0.9258813,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,830308,0.0021505612,2.1505612000000003,22.09794,,37574,0.000097465236,0.97465236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,1172327.9,0.0028827523,2.8827523,19.94162,,58788,0.00014455958,1.4455958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1992,671931834,1537288.8,0.003679606,3.679606,18.866837,,81481,0.00019503036,1.9503036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1993,689140286,1504084.9,0.0035414938,3.5414938,17.71596,,84900,0.00019990416,1.9990416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1994,706488557,1639473.8,0.003772091,3.772091,17.263798,,94966,0.00021849717,2.1849717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1995,724331972,1652037.2,0.003714859,3.714859,18.446562,,89558,0.00020138489,2.0138489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1996,742765067,1606822.8,0.0035255805,3.5255805000000002,18.149626,,88532,0.00019425085,1.9425085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1997,761224818,1677237.8,0.0035250632,3.5250632,18.393185,,91188,0.0001916505,1.9165050000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1998,779908311,1718767,0.0035303326,3.5303326,17.923801,,95893,0.00019696339,1.9696338999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1999,799099611,1840009.2,0.003693579,3.6935789999999997,18.128527,,101498,0.00020374403,2.0374403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2000,818952374,1836237.4,0.0036022414,3.6022414,18.35173,,100058,0.00019628894,1.9628894000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2001,839464127,1903845.2,0.0036498692,3.6498692,18.887165,,100801,0.000193246,1.93246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2002,860611762,1901573,0.0035621303,3.5621302999999997,18.170963,,104649,0.0001960342,1.960342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2003,882349569,2102211,0.003847536,3.847536,18.55012,,113326,0.00020741299,2.0741299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2004,904781595,1908292.9,0.0034115736,3.4115736,19.17998,,99494,0.0001778716,1.778716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2005,927898412,2045243.4,0.003570822,3.570822,19.19515,,106550,0.00018602729,1.8602729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2006,951740562,2046346.8,0.0034880603,3.4880603,19.026049,,107555,0.00018333076,1.8333076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2007,976461747,2367102.2,0.0039433884,3.9433884,19.318079,,122533,0.0002041294,2.041294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2008,1001981577,2464547.8,0.0040064068,4.0064068,19.432358,,126827,0.00020617193,2.0617193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
