Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,316432,0.0019071432,1.9071432000000001,8.804452,,35940,0.00022198321,2.2198321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,362461,0.002130968,2.130968,9.865032,,36742,0.00022140502,2.2140502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,357322,0.0020486808,2.0486808,9.613441,,37169,0.00021846122,2.1846122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,365708,0.0020443785,2.0443785,9.335001,,39176,0.00022454112,2.2454112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,317970,0.0017326872,1.7326872,9.11559,,34882,0.00019491867,1.9491867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,348147,0.0018486287,1.8486287,9.618383,,36196,0.00019712046,1.9712045999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,363460,0.0018801927,1.8801927,9.915701,,36655,0.00019450359,1.9450359000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,360911,0.0018188677,1.8188677,9.357299,,38570,0.0001994187,1.994187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,357139,0.0017535178,1.7535178,9.182132,,38895,0.00019595401,1.9595401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,362515,0.0017342316,1.7342316,9.240524,,39231,0.00019260375,1.9260375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
