Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,50525,0.00046830255,0.46830255,0.50012374,,101025,0.00093637337,9.363733700000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,62048,0.00056068803,0.56068803,0.4949822,,125354,0.0011327438,11.327437999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,54180,0.00047724036,0.47724036000000003,0.48751518,,111135,0.0009789241,9.789241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,54124,0.00046456003,0.46456003,0.50455856,,107270,0.00092072564,9.2072564,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,59113,0.00049427326,0.49427326,0.49458668,,119520,0.0009993663,9.993663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,48467,0.00039478752,0.39478752,0.4765824,,101697,0.000828372,8.283719999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,45996,0.00036492484,0.36492484,0.46649086,,98600,0.0007822765,7.822765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,45267,0.00034967004,0.34967004,0.46920964,,96475,0.000745232,7.452319999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,37356,0.0002808528,0.2808528,0.42300984,,88310,0.00066393916,6.6393916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,42090,0.0003079514,0.30795140000000004,0.47637373,,88355,0.0006464492,6.464492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,42787,0.00030462985,0.30462985000000004,0.4909863,,87145,0.0006204447,6.204447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,37003,0.0002564906,0.2564906,0.472912,,78245,0.0005423643,5.423643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,30773,0.00020759506,0.20759506,0.44682735,,68870,0.00046459792,4.6459792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,30006,0.00019681898,0.19681898,0.4440071,,67580,0.0004432789,4.432789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,34821,0.00022204268,0.22204268000000002,0.5299193,,65710,0.0004190122,4.190122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,30768,0.00019070746,0.19070746,0.4675988,,65800,0.00040784423,4.0784423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,31000,0.0001867876,0.1867876,0.49903414,,62120,0.00037429822,3.7429822,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,30566,0.00017921597,0.17921597,0.49846706,,61320,0.00035953426,3.5953426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,30294,0.0001730682,0.1730682,0.4958913,,61090,0.0003490043,3.4900429999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,31113,0.00017335321,0.17335321,0.50352806,,61790,0.00034427716,3.4427716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,31280,0.00016944567,0.16944567000000002,0.50533116,,61900,0.0003353161,3.3531609999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,31336.8,0.00016501524,0.16501524,0.50396913,,62180,0.00032743125,3.2743125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,31710,0.0001622152,0.1622152,0.50727886,,62510,0.00031977522,3.1977522,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,31775,0.0001581079,0.1581079,0.50404507,,63040,0.0003136781,3.136781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,31820,0.0001542298,0.1542298,0.49851167,,63830,0.00030938053,3.0938053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,32940,0.00015524412,0.15524412,0.4996208,,65930,0.0003107239,3.107239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,34540,0.00015809477,0.15809477,0.4916726,,70250,0.0003215448,3.215448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,35360,0.00015714885,0.15714885,0.4863824,,72700,0.00032309734,3.2309734,,,,,,,,,,,,,,,,,,,,,,,,,,,,
