Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,80836,0.00087295764,0.87295764,23.288965,,3471,0.000037483744,0.37483744,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,75960,0.0007990052,0.7990052000000001,23.350754,,3253,0.000034217534,0.34217534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,81493,0.00083470455,0.83470455,24.103224,,3381,0.00003463041,0.3463041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,88072,0.0008782789,0.8782789,24.03056,,3665,0.00003654842,0.3654842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,94187,0.00091442425,0.91442425,23.953968,,3932,0.000038174232,0.38174231999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,93996,0.0008881392,0.8881392,23.13463,,4063,0.000038390033,0.38390033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,86274,0.0007929815,0.7929815,23.495098,,3672,0.000033750934,0.33750934000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,102934,0.0009203735,0.9203735,21.262962,,4841,0.00004328529,0.43285290000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,102783,0.00089422875,0.89422875,21.161829,,4857,0.000042256688,0.42256688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,107926,0.00091397465,0.91397465,21.667536,,4981,0.00004218175,0.4218175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,106021,0.0008744947,0.8744947,22.152319,,4786,0.00003947644,0.3947644,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,107071,0.00086046907,0.8604690700000001,19.400434,,5519,0.00004435308,0.4435308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,104128,0.0008151946,0.8151946,20.074802,,5187,0.000040607854,0.40607854000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,100428,0.0007657958,0.7657958,18.359781,,5470,0.00004171051,0.4171051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,115607,0.00085734756,0.85734756,18.165775,,6364,0.000047195757,0.47195757000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,136920,0.0009864111,0.9864111,19.317156,,7088,0.000051063995,0.51063995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,145595,0.001020071,1.020071,19.667027,,7403,0.000051867068,0.51867068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,153796,0.0010489696,1.0489696000000002,20.249638,,7595,0.000051801893,0.51801893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,158706,0.0010533736,1.0533736,19.759212,,8032,0.000053310505,0.53310505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,165105,0.0010639592,1.0639592,20.36071,,8109,0.000052255502,0.52255502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,167731,0.0010489854,1.0489854,19.503605,,8600,0.00005378418,0.5378417999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,157838,0.0009589027,0.9589027,18.372482,,8591,0.000052192332,0.52192332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,153715,0.00090673857,0.90673857,16.940159,,9074,0.00005352598,0.5352598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,150610,0.00086259434,0.86259434,16.81666,,8956,0.000051294035,0.51294035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,163170,0.0009073943,0.9073943,17.299618,,9432,0.00005245169,0.5245169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,175823,0.0009493104,0.9493104,16.541819,,10629,0.00005738851,0.5738851,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,197118,0.0010337316,1.0337315999999999,19.287476,,10220,0.000053596006,0.5359600600000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,189796,0.0009673623,0.9673623,17.662014,,10746,0.000054770782,0.54770782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,169642,0.0008410162,0.8410162000000001,16.32586,,10391,0.00005151436,0.5151436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,196451,0.0009484388,0.9484387999999999,15.92889,,12333,0.000059542053,0.59542053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,209386.02,0.0009862756,0.9862756,16.097948,,13007,0.00006126716,0.6126716000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1992,671931834,214671.83,0.0009881146,0.9881146,16.162613,,13282,0.00006113582,0.6113582000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1993,689140286,205126.31,0.00092389714,0.92389714,17.14243,,11966,0.000053895346,0.53895346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1994,706488557,204418.12,0.00090188195,0.90188195,16.83701,,12141,0.00005356545,0.5356544999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1995,724331972,221691.16,0.00095847226,0.95847226,16.596134,,13358,0.000057752743,0.57752743,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1996,742765067,220427,0.0009343901,0.9343901,16.522524,,13341,0.000056552504,0.56552504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1997,761224818,230980.58,0.00092533894,0.9253389399999999,18.469582,,12506,0.0000501007,0.501007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1998,779908311,233732.72,0.00091882976,0.91882976,18.509085,,12628,0.000049642094,0.49642094000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1999,799099611,233146.27,0.0008998119,0.8998119,18.344975,,12709,0.000049049508,0.49049508,,,,,,,,,,,,,,,,,,,,,,,,,,,,
