Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1961,8790140,14094,0.0016033874,1.6033874000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1962,8969055,14148,0.0015774237,1.5774237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1963,9157463,15372,0.0016786308,1.6786308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1964,9355510,16200,0.0017315999,1.7315999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1965,9565154,17064,0.0017839755,1.7839755000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1966,9783153,15840,0.0016191099,1.6191099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1967,10010037,17100,0.0017082854,1.7082854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1968,10247782,17460,0.0017037833,1.7037833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1969,10494491,17460,0.00166373,1.66373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1970,10752973,15840,0.001473081,1.473081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1971,11015853,12690,0.0011519762,1.1519762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1972,11286753,11880,0.0010525613,1.0525612999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1973,11575308,14130,0.0012207018,1.2207018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1974,11869881,15300,0.0012889768,1.2889768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1975,12157390,16560,0.0013621345,1.3621345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1976,12425276,17010,0.0013689836,1.3689836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1977,12687308,17010,0.00134071,1.3407099999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1978,12938864,16992,0.0013132528,1.3132528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1979,12986378,17550,0.0013514161,1.3514161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1980,12486640,17874,0.0014314499,1.4314499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1981,11155196,19350,0.0017346176,1.7346176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1982,10088290,19044,0.0018877332,1.8877332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1983,9951447,19710,0.0019806165,1.9806164999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1984,10243689,17010,0.0016605346,1.6605345999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1985,10512220,13981,0.001329976,1.329976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1986,10448447,10651,0.001019386,1.019386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1987,10322767,11399,0.0011042582,1.1042581999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1988,10383459,12960,0.001248139,1.248139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1989,10673172,14611,0.0013689464,1.3689464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1990,10694804,17343,0.0016216286,1.6216286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1991,10745168,17820,0.0016584198,1.6584198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1992,12057436,17370,0.0014406048,1.4406047999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1993,14003764,17370,0.0012403808,1.2403808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
