Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,466,0.000010377187,0.010377187000000001,2.9125,,160,0.0000035629828,0.035629828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,372,0.0000080926,0.0080926,2.325,,160,0.0000034806885,0.034806885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,329,0.0000069893977,0.0069893977,2.35,,140,0.0000029742116,0.029742116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,540,0.000011199631,0.011199631,3.375,,160,0.0000033184092,0.033184092000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,746,0.0000150988835,0.0150988835,3.9263158,,190,0.00000384556,0.0384556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,461,0.000009094379,0.009094379,3.0733333,,150,0.0000029591254,0.029591254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,631,0.000012116246,0.012116246,4.2066665,,150,0.0000028802485,0.028802485000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,426,0.000007960145,0.007960145,2.84,,150,0.000002802868,0.028028679999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,884,0.000016076414,0.016076414,4.42,,200,0.0000036371978,0.036371978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,707,0.00001251638,0.012516379999999999,4.713333,,150,0.0000026555263,0.026555263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,580,0.000009999817,0.009999817,3.8666666,,150,0.0000025861596,0.025861596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,841,0.000014124989,0.014124989,4.9470587,,170,0.0000028552297,0.028552297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,1143,0.000018700272,0.018700272,2.4319148,,470,0.000007689526,0.07689526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,1243,0.000019809988,0.019809988,1.7507042,,710,0.00001131544,0.11315439999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,1723,0.000026673035,0.026673034999999998,1.5247787,,1130,0.000017493054,0.17493054000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,2208,0.000033119668,0.033119668,1.3714286,,1610,0.000024149758,0.24149758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,2498,0.00003639633,0.03639633,1.2680203,,1970,0.000028703269,0.28703269,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,2134,0.000030264844,0.030264844,1.3592356,,1570,0.000022266076,0.22266076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,1948,0.000026888305,0.026888304999999998,1.442963,,1350,0.000018634093,0.18634093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,3225,0.00004331212,0.04331212,1.6538461,,1950,0.000026188723,0.26188722999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,3347,0.000043730917,0.043730917,1.3887967,,2410,0.00003148835,0.3148835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,2778,0.000035305668,0.035305668000000005,1.6057804,,1730,0.00002198661,0.2198661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,4622,0.00005711395,0.05711395,1.8562249,,2490,0.000030768875,0.30768875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,3620,0.00004347922,0.04347922,1.3068593,,2770,0.00003327001,0.3327001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,4486,0.000052347194,0.052347194,1.5834804,,2833,0.000033058317,0.33058317000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,6730,0.00007625168,0.07625168,1.5761124,,4270,0.000048379596,0.48379596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,5114,0.0000562846,0.0562846,1.6132492,,3170,0.000034888966,0.34888966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,6931,0.00007418685,0.07418685,1.8989041,,3650,0.000039068243,0.39068242999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,7847,0.00008177135,0.08177134999999999,2.149863,,3650,0.00003803561,0.3803561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,6244,0.000063451094,0.063451094,1.7441341,,3580,0.00003637971,0.3637971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,8718,0.00008661199,0.08661199,2.2353847,,3900,0.0000387459,0.387459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1992,671931834,12497,0.00012166998,0.12166998000000001,3.4810586,,3590,0.00003495201,0.3495201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1993,689140286,18410,0.00017589665,0.17589665,4.794271,,3840,0.00003668893,0.36688930000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1994,706488557,6740,0.00006325688,0.06325688,1.7282051,,3900,0.000036602643,0.36602642999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1995,724331972,8670,0.00008001309,0.08001309,2.2875988,,3790,0.000034976885,0.34976885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
