Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,180184,0.0014700178,1.4700178,0.49731448,,362314,0.002955912,29.559120000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,203137,0.0016168326,1.6168326,0.5464712,,371725,0.0029586786,29.586786,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,227182,0.0017635734,1.7635734,0.5912364,,384249,0.0029828565,29.828565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,227189,0.0017196488,1.7196487999999999,0.5985967,,379536,0.0028728002,28.728002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,257503,0.0019001662,1.9001662000000001,0.67647165,,380656,0.0028089369,28.089369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,237128,0.0017052527,1.7052527,0.57907,,409498,0.0029448126,29.448126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,244813,0.0017148827,1.7148827,0.5891287,,415551,0.00291088,29.1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,312406,0.0021310553,2.1310553,0.6874527,,454440,0.0030999302,30.999302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,252177,0.0016750788,1.6750788,0.60934395,,413850,0.0027489872,27.489872000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,317882,0.0020569228,2.0569227999999997,0.65277535,,486970,0.0031510424,31.510424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,192191,0.0012120175,1.2120175000000002,0.42895946,,448040,0.0028254827,28.254827000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,242178,0.0014887231,1.4887231,0.5704964,,424504,0.0026095223,26.095223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
