Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,158237,0.0012387097,1.2387097,11.964086,,13226,0.00010360809,1.0360809,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,197606,0.001506723,1.506723,12.339578,,16014,0.00012219169,1.2219168999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,198043,0.0014701753,1.4701753000000002,12.524855,,15812,0.00011746581,1.1746581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,194656,0.0014066278,1.4066277999999999,12.222529,,15926,0.00011517053,1.1517053000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,184031,0.001294306,1.294306,12.544717,,14670,0.00010325438,1.0325438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,187187,0.0012808087,1.2808087000000001,13.207295,,14173,0.00009705366,0.9705366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,163888,0.0010905014,1.0905014,13.074431,,12535,0.000083474486,0.83474486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,173757,0.0011242877,1.1242877,12.577415,,13815,0.00008946332,0.8946332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,180868,0.001138188,1.138188,13.179917,,13723,0.0000864314,0.864314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,181414,0.0011104628,1.1104628,13.527254,,13411,0.0000821634,0.821634,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,193787,0.0011543666,1.1543666,14.005999,,13836,0.00008249524,0.8249524,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,182734,0.0010595637,1.0595637,13.188077,,13856,0.0000804196,0.804196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,211627,0.0011941666,1.1941666,13.146167,,16098,0.00009092861,0.9092861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,222961,0.0012241671,1.2241671,14.26129,,15634,0.000085928754,0.8592875400000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,257740,0.0013754269,1.3754269,14.246863,,18091,0.00009665002,0.9665002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,282260,0.0014632002,1.4632002000000002,15.4536,,18265,0.00009479614,0.9479614000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,254131,0.0012809508,1.2809507999999998,13.586261,,18705,0.00009440324,0.9440324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,271540,0.0013306856,1.3306856,14.175933,,19155,0.00009399761,0.9399761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,314383,0.0014965757,1.4965757,15.020688,,20930,0.00009977815,0.9977815,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,339924,0.0015699201,1.5699201,14.559644,,23347,0.000107988475,1.07988475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,353268,0.0015829682,1.5829682,14.662683,,24093,0.000108124346,1.08124346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,346540,0.0015083081,1.5083080999999998,14.630584,,23686,0.000103252416,1.03252416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,346470,0.0014644043,1.4644043,14.659192,,23635,0.000100052166,1.00052166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,347389,0.0014253511,1.4253511,15.095338,,23013,0.00009457156,0.9457156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,399673,0.0015921231,1.5921231,16.365286,,24422,0.00009744215,0.9744215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
