Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,17113.7,0.00021123583,0.21123583,,,,,,8221000,0.1014725,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,17510.2,0.00021050066,0.21050066,,,,,,8411000,0.10111369,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,17880.2,0.00020925787,0.20925787,,,,,,8587000,0.100496486,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,18284.7,0.00020829035,0.20829035,,,,,,8783000,0.10005164,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,18395.5,0.0002039589,0.2039589,,,,,,8860000,0.09823467,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,18718.5,0.0002020295,0.2020295,,,,,,9030000,0.09746115,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,19707,0.00020707546,0.20707546000000002,,,,,,9704000,0.10196683,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,19927.2,0.00020383438,0.20383438,,,,,,9781000,0.100049384,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,20439.64,0.00020352483,0.20352483,,,,,,10068000,0.10025069,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,21270.27,0.00020619953,0.20619953,,,,,,10440000,0.10120808,,,,,,,,,,,,,,,,,,,,,,,,,,
