Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,3430.46,0.00017965904,0.17965904000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,3521.02,0.0001795546,0.1795546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,3593.58,0.00017841828,0.17841828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,3685.14,0.00017807301,0.17807300999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,3779.2,0.00017770153,0.17770153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,3873,0.00017719106,0.17719105999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,4391.1,0.00019541135,0.19541135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,4420.7,0.00019117234,0.19117234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,4595.9,0.00019292644,0.19292644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,4786.5,0.00019493393,0.19493393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,4888.7,0.0001930579,0.19305789999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,4915,0.0001880871,0.1880871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,4940.4,0.00018314405,0.18314405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,4571.4,0.00016415518,0.16415517999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,4726.8,0.0001643921,0.1643921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,4467,0.00015046651,0.15046651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,4422.76,0.00014428355,0.14428355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,4699,0.00014850995,0.14850995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,4673,0.00014320637,0.14320637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,3870,0.00011514158,0.11514158000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,3823.36,0.00011053047,0.11053047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,3562.72,0.000100092766,0.100092766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,3324,0.00009063982,0.09063982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,3296,0.00008724185,0.08724185000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,3993,0.0001025835,0.1025835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,4262,0.000106205254,0.106205254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,3687,0.00008910275,0.08910275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,4152,0.00009742725,0.09742725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,4095,0.00009350005,0.09350005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,4570,0.00009920979,0.09920979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,4857,0.00010347034,0.10347034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1992,671931834,5114,0.00010633695,0.10633695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1993,689140286,5269,0.00010644337,0.10644337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1994,706488557,5458,0.000106795684,0.106795684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1995,724331972,5633,0.000107140295,0.107140295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1996,742765067,6149,0.000114431525,0.114431525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1997,761224818,6560,0.00011900679,0.11900679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1998,779908311,6913,0.00012175,0.12175000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1999,799099611,6781,0.00011620714,0.11620714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2000,818952374,7038,0.00011718543,0.11718543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2001,839464127,7556.7,0.00012207804,0.12207804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2002,860611762,7123,0.00011175583,0.11175583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2003,882349569,7083.5,0.000108156004,0.108156004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2004,904781595,7203,0.00010704163,0.10704163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2005,927898412,7243,0.00010462208,0.10462207999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2006,951740562,7306,0.0001025386,0.10253860000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2007,976461747,7658,0.00010445594,0.10445594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
