Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,145557,0.001594472,1.594472,15.247957,,9546,0.00010467192,1.0467192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,160667,0.0017176006,1.7176006000000001,16.017048,,10031,0.00010734266,1.0734266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,183724,0.0019162595,1.9162595,16.769258,,10956,0.000114388706,1.14388706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,197974,0.0020143697,2.0143697,17.451868,,11344,0.00011554534,1.1554534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,205848,0.0020430915,2.0430915,17.843967,,11536,0.00011462136,1.1462136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,226170,0.0021887415,2.1887415,18.769295,,12050,0.000116742674,1.16742674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,232496,0.0021924626,2.1924626,17.95336,,12950,0.00012225962,1.2225962000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,247700,0.0022760325,2.2760325,17.449806,,14195,0.00013058633,1.3058633000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,270987,0.002426402,2.426402,17.436909,,15541,0.00013932213,1.3932212999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,249730,0.002178825,2.1788250000000002,15.695431,,15911,0.00013899416,1.3899415999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,256429,0.0021801416,2.1801416,15.882874,,16145,0.0001374439,1.374439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,248267,0.002056794,2.056794,11.194797,,22177,0.00018397954,1.8397954,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,252491,0.0020377298,2.0377298,12.005088,,21032,0.00016998213,1.6998213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,264973,0.0020825737,2.0825737,12.001676,,22078,0.00017378501,1.7378501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,269031,0.0020556708,2.0556708,13.402631,,20073,0.00015362301,1.5362300999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,280520,0.0020814806,2.0814806,12.970223,,21628,0.00016075501,1.6075500999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,286448,0.0020664362,2.0664362,13.728637,,20865,0.00015079546,1.5079546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,330447,0.002318845,2.318845,14.619608,,22603,0.0001589225,1.5892249999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,362215,0.0024711122,2.4711122000000003,15.23448,,23776,0.00016254107,1.6254107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,350493,0.0023230226,2.3230226,12.646329,,27715,0.00018408692,1.8408692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,357850,0.0023034145,2.3034144999999997,13.429279,,26647,0.0001718995,1.718995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,371087,0.0023207325,2.3207325,13.545793,,27395,0.0001717063,1.717063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,360982,0.002193238,2.193238,14.001319,,25782,0.00015699587,1.5699587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,351443,0.0020745366,2.0745366,13.786944,,25491,0.0001508113,1.508113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,403022,0.0023122092,2.3122092,15.46397,,26062,0.00014986689,1.4986689000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,511279,0.0028517565,2.8517565,18.334612,,27886,0.00015590848,1.5590848,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,527057,0.0028598602,2.8598602,19.254631,,27373,0.00014889384,1.4889383999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,470162,0.0024831884,2.4831884,18.042904,,26058,0.00013797836,1.3797835999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,483992,0.0024892727,2.4892727,17.90441,,27032,0.0001394049,1.3940489999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,507437,0.0025426145,2.5426145,18.158419,,27945,0.00014043014,1.4043013999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,535233.7,0.002503429,2.503429,18.22134,,29374,0.00013738994,1.3738994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1992,671931834,463827.78,0.0021174124,2.1174124,16.9441,,27374,0.00012496459,1.2496459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1993,689140286,461158,0.002054728,2.054728,16.79748,,27454,0.00012232359,1.2232359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1994,706488557,503671.53,0.0022049425,2.2049425,16.779543,,30017,0.0001314066,1.314066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1995,724331972,532818.44,0.0022914433,2.2914433,17.492971,,30459,0.00013099222,1.3099222000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1996,742765067,688127.25,0.0028826783,2.8826783000000002,18.74955,,36701,0.00015374653,1.5374653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1997,761224818,722478.3,0.0029503258,2.9503258,18.122215,,39867,0.00016280162,1.6280162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1998,779908311,726966.75,0.0029030812,2.9030812,17.56128,,41396,0.00016531149,1.6531149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1999,799099611,733200.5,0.0028660402,2.8660402,17.505922,,41883,0.00016371833,1.6371832999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2000,818952374,890221.44,0.0034062662,3.4062661999999997,18.72416,,47544,0.00018191824,1.8191824,,,,,,,,,,,,,,,,,,,,,,,,,,,,
