Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,39635,0.00036106718,0.36106718,0.21112768,,187730,0.003788045,37.880449999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,37497,0.00033385673,0.33385673,0.19868065,,188730,0.0037182022,37.182021999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,39149,0.0003405641,0.3405641,0.20820613,,188030,0.0036154601,36.154601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,40887,0.0003474022,0.3474022,0.21516076,,190030,0.003565136,35.65136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,38675,0.00032084435,0.32084435,0.201117,,192301,0.0035191656,35.191656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,37144,0.0003008294,0.30082939999999997,0.1899842,,195511,0.003490175,34.90175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,38803,0.00030684992,0.30684992,0.19429284,,199714,0.0034777985,34.777985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,41638,0.00032140274,0.32140274,0.20524575,,202869,0.0034449026,34.449025999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,37998,0.00028617238,0.28617238,0.18270202,,207978,0.0034429927,34.429927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,39095,0.00028724037,0.28724037,0.1846403,,211736,0.0034182882,34.182882,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,40588,0.00029087625,0.29087625,0.18768758,,216253,0.0034051544,34.051544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,39974,0.00027931837,0.27931837000000004,0.18273579,,218753,0.0033589306,33.589306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,39848,0.0002713163,0.2713163,0.18038687,,220903,0.0033065868,33.065868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,40267,0.00026700067,0.26700067,0.18029219,,223343,0.003258869,32.58869,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,41421,0.0002672952,0.26729519999999996,0.18271445,,226698,0.003224598,32.24598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,36660,0.00023009072,0.23009072,0.16412011,,223373,0.0030960094,30.960093999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,37942,0.00023161498,0.23161498,0.17028095,,222820,0.00301239,30.123900000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,35901,0.00021339214,0.21339214,0.15976237,,224715,0.0029725137,29.725136999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,36974,0.0002142128,0.2142128,0.16633227,,222290,0.0028833698,28.833698000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,37790,0.00021352338,0.21352337999999998,0.16901849,,223585,0.0028471914,28.471913999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,38100,0.00020928521,0.20928521,0.16963491,,224600,0.0027859467,27.859467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,38760,0.000207034,0.20703400000000002,0.17257193,,224602,0.0027127455,27.127455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,39090,0.00020326022,0.20326022,0.17325054,,225627,0.0026519294,26.519294000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,39880,0.00020212233,0.20212233000000002,0.17596653,,226634,0.002598626,25.98626,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,40350,0.00019935118,0.19935118,0.17725822,,227634,0.0025529296,25.529296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,41180,0.00019795517,0.19795517,0.1801124,,228635,0.002495576,24.955759999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,41990,0.00019599481,0.19599481,0.18277581,,229735,0.0024283873,24.283873,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,42210,0.00019118215,0.19118215,0.18293555,,230737,0.0023573712,23.573712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,42710,0.00018772941,0.18772940999999999,0.18422426,,231837,0.0022881997,22.881997000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,42974,0.00018339779,0.18339779,0.18347003,,234229,0.002237152,22.37152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,42999.64,0.00017808352,0.17808352,0.18078926,,237844,0.0010015855,10.015855,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1992,671931834,43346.96,0.00017470168,0.17470168,0.18143484,,238912,0.0009790928,9.790928000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1993,689140286,42875.94,0.0001709641,0.17096409999999998,0.17943703,,238947,0.0009527804,9.527804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1994,706488557,42636.17,0.0001654831,0.1654831,0.18021274,,236588,0.0009182653,9.182653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
