Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,9617,0.00034658515,0.34658515,0.79749566,,12059,0.00043459187,4.3459187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,8990,0.00031560438,0.31560437999999996,0.79067725,,11370,0.00039915706,3.9915706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,8611,0.00029443402,0.29443402,0.7868238,,10944,0.00037420576,3.7420576000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,11110,0.00037000462,0.37000462,0.7983616,,13916,0.00046345493,4.6345493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,8128,0.00026373792,0.26373792,0.74864143,,10857,0.0003522887,3.522887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,7560,0.0002391411,0.23914110000000002,0.7498512,,10082,0.00031891806,3.1891806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,7582,0.00023395158,0.23395158,0.75009894,,10108,0.00031189428,3.1189428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,11620,0.00034995118,0.34995118000000003,0.76836604,,15123,0.0004554485,4.554485000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,12000,0.00035298313,0.35298313,0.7324666,,16383,0.00048191022,4.8191022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,7280,0.0002093037,0.2093037,0.86491627,,8417,0.00024199304,2.4199304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,7700,0.00021655996,0.21655996,0.79693645,,9662,0.00027174057,2.7174057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,11900,0.00032754603,0.32754603,0.80935866,,14703,0.00040469825,4.0469825,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,14000,0.00037714725,0.37714725,0.79351586,,17643,0.00047528636,4.7528635999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,16100,0.0004244619,0.4244619,0.8154376,,19744,0.00052053266,5.205326599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,19460,0.0005018622,0.5018622,0.8578734,,22684,0.0005850073,5.850073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,17402,0.00043890075,0.43890074999999995,0.8722807,,19950,0.00050316454,5.0316453999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,21823,0.00053781224,0.53781224,0.8857456,,24638,0.00060718594,6.0718594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,22700,0.00054597965,0.54597965,0.90040064,,25211,0.0006063742,6.0637419999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,25400,0.0005957902,0.5957901999999999,0.8822508,,28790,0.0006753071,6.753071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,24920,0.00056961883,0.56961883,0.8722436,,28570,0.0006530502,6.530502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,20300,0.00045212012,0.45212011999999996,0.92948717,,21840,0.0004864189,4.864189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,14840,0.00032198816,0.32198816,0.93686867,,15840,0.00034368547,3.4368547,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,14500,0.00030620646,0.30620646,0.89589125,,16185,0.00034178977,3.4178977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,16000,0.00032870108,0.32870108,0.8695652,,18400,0.00037800625,3.7800625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,17000,0.00033975643,0.33975643,1.0378511,,16380,0.00032736533,3.2736533000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,18000,0.00035002897,0.35002897,0.99667776,,18060,0.00035119572,3.5119572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,15000,0.00028386878,0.28386878,1.0204082,,14700,0.0002781914,2.781914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,18000,0.00033150119,0.33150119,1.0452962,,17220,0.00031713615,3.1713614999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,15875,0.00028467245,0.28467245,0.9299397,,17071,0.00030611927,3.0611927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,12025,0.00021017352,0.21017352,0.9314485,,12910,0.00022564158,2.2564158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,16685,0.00028467338,0.28467338,0.9111014,,18313,0.0003124497,3.124497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1992,671931834,11320,0.0001887008,0.1887008,0.9141565,,12383,0.00020642066,2.0642066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1993,689140286,12000,0.0001954964,0.19549640000000001,0.9230769,,13000,0.00021178777,2.1178776999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1994,706488557,12000,0.00019115633,0.19115633,0.93160325,,12881.02,0.0002051907,2.051907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1995,724331972,12300,0.00019168759,0.19168759000000002,0.93411595,,13167.53,0.00020520749,2.0520749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1996,742765067,12500,0.00019064992,0.19064992,0.9469697,,13200,0.00020132633,2.0132633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1997,761224818,13000,0.000194048,0.194048,0.962963,,13500,0.00020151139,2.0151139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1998,779908311,13500,0.00019723576,0.19723576,0.96428573,,14000,0.00020454079,2.0454079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1999,799099611,13800,0.00019740262,0.19740262,0.9517241,,14500,0.0002074158,2.0741579999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2000,818952374,14000,0.0001961571,0.1961571,0.93333334,,15000,0.0002101683,2.101683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2001,839464127,7110,0.0000975921,0.0975921,0.9297764,,7647,0.00010496298,1.0496298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
