Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,16287,0.00031925016,0.31925016,,,,,,4494000,0.08874961,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,16920.5,0.00032270444,0.32270444000000004,,,,,,4665000,0.08964067,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,17344,0.00032176226,0.32176226,,,,,,4786000,0.089460164,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,17765,0.00032055815,0.32055815000000004,,,,,,4906000,0.0891963,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,18188.5,0.00031925112,0.31925112,,,,,,5027000,0.08890302,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,18780,0.00032074781,0.32074780999999997,,,,,,5188000,0.08927306,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,19119.5,0.00031784346,0.31784346,,,,,,5289000,0.08858078,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,19417,0.00031427102,0.31427102,,,,,,5380000,0.08772291,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,19672.5,0.0003101346,0.3101346,,,,,,5461000,0.08672699,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,20306,0.00031194836,0.31194836000000004,,,,,,5652000,0.08746494,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,20603.5,0.0003086504,0.30865040000000005,,,,,,5743000,0.08666024,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,20943,0.00030606537,0.30606537,,,,,,5844000,0.086024135,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,21282.5,0.00030343863,0.30343863,,,,,,5945000,0.085370995,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,20781,0.00028908966,0.28908965999999997,,,,,,5766000,0.080783375,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,21708.5,0.000294639,0.29463900000000004,,,,,,6067000,0.08292476,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,21426.4,0.0002837643,0.28376429999999997,,,,,,5960000,0.07948285,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,21537.35,0.0002782057,0.2782057,,,,,,5987000,0.07786962,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,22492.5,0.0002831943,0.2831943,,,,,,6294000,0.079785146,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,22653.85,0.00027793992,0.27793992,,,,,,6333000,0.07822207,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,20643.8,0.0002467382,0.2467382,,,,,,5654000,0.06802611,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,20733.75,0.00024145935,0.24145935000000002,,,,,,5676000,0.06653439,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,26006.5,0.00029507995,0.29507995000000004,,,,,,6891000,0.07869471,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,30714,0.00033925378,0.33925378,,,,,,7972000,0.08862018,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,32611,0.0003504319,0.35043189999999996,,,,,,8424000,0.09109822,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,35131,0.00036705047,0.36705047,,,,,,9224000,0.09698007,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,36013,0.00036546416,0.36546416,,,,,,9474000,0.09674294,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,34753,0.00034230892,0.34230892,,,,,,9014000,0.08933333,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,36055,0.00034470265,0.34470265,,,,,,9404000,0.0904549,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,36065,0.0003348829,0.3348829,,,,,,9364000,0.08747458,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,27340.5,0.0002469242,0.24692419999999998,,,,,,9745000,0.088538386,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,25720.5,0.00022652434,0.22652434,,,,,,11118000,0.09850137,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1992,671931834,28980,0.00024944387,0.24944387,,,,,,12733000,0.11025009,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1993,689140286,33332.5,0.0002806685,0.2806685,,,,,,14815000,0.12548596,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1994,706488557,29316,0.00024160153,0.24160153,,,,,,10442000,0.08656429,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1995,724331972,29752.5,0.00024011702,0.24011702000000001,,,,,,10587000,0.085945755,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1996,742765067,30606.5,0.00024203397,0.24203397000000001,,,,,,10871000,0.086472124,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1997,761224818,31244,0.0002422141,0.2422141,,,,,,11116000,0.0866799,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1998,779908311,31767,0.00024155968,0.24155968,,,,,,11290000,0.08635196,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1999,799099611,32384.5,0.00024170431,0.24170431,,,,,,11495000,0.08629306,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2000,818952374,33281,0.00024399125,0.24399125,,,,,,11794000,0.086965494,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2001,839464127,33142.5,0.00023875403,0.23875403,,,,,,11747000,0.08511153,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2002,860611762,33144.5,0.0002345576,0.2345576,,,,,,11747000,0.08360784,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2003,882349569,33446.5,0.00023251114,0.23251114,,,,,,11847000,0.08282644,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2004,904781595,33451,0.00022848393,0.22848393,,,,,,11848000,0.081385,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2005,927898412,33653,0.00022589491,0.22589491,,,,,,11948000,0.08065197,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2006,951740562,33654,0.00022201863,0.22201863,,,,,,11948000,0.07926414,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2007,976461747,33620,0.00021915071,0.21915071,,,,,,11954000,0.0779217,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2008,1001981577,33622.5,0.00021525304,0.21525304,,,,,,11957000,0.07654935,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2009,1028200528,33890.5,0.00021305561,0.21305561,,,,,,12045000,0.07572195,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2010,1055233717,34097.5,0.00021041119,0.21041119,,,,,,12122000,0.07480327,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2011,1082676070,34137,0.0002065432,0.20654319999999998,,,,,,12135000,0.07342185,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2012,1110797495,34348.48,0.00020367882,0.20367882,,,,,,12213000,0.072420366,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2013,1140180888,36434.94,0.00021167072,0.21167072,,,,,,12987000,0.07544867,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2014,1170299297,38210.52,0.00021731516,0.21731516,,,,,,13519000,0.07688677,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2015,1201108186,39382.58,0.00021910328,0.21910328,,,,,,14076000,0.07831122,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2016,1232111820,37845.28,0.00020680238,0.20680237999999998,,,,,,13506000,0.07380241,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2017,1263333997,38216.18,0.00020557952,0.20557952,,,,,,13643000,0.07339094,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2018,1295265310,39668.74,0.0002096409,0.2096409,,,,,,14380000,0.07599526,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2019,1327701380,27319.69,0.00014189456,0.14189456,,,,,,9419000,0.048920937,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2020,1360677453,26293.04,0.000134292,0.134292,,,,,,9310000,0.04755093,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2021,1393676724,24304.82,0.00012221522,0.12221522,,,,,,7630000,0.038366962,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2022,1426736614,25906.94,0.00012838235,0.12838235,,,,,,8789000,0.043554064,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1961,270510687,16287,,,,3.6241999,,,,4494000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1962,277177281,16920.5,,,,3.6271,,,,4665000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1963,284055281,17344,,,,3.6239,,,,4786000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1964,291157437,17765,,,,3.6211,,,,4906000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1965,298478343,18188.5,,,,3.6181998,,,,5027000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1966,306022281,18780,,,,3.6199,,,,5188000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1967,313800031,19119.5,,,,3.615,,,,5289000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1968,321824625,19417,,,,3.6090999,,,,5380000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1969,330113875,19672.5,,,,3.6023998,,,,5461000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1970,338682843,20306,,,,3.5927,,,,5652000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1971,347551343,20603.5,,,,3.5876,,,,5743000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1972,356727468,20943,,,,3.5837,,,,5844000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1973,366190468,21282.5,,,,3.5799,,,,5945000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1974,375910812,20781,,,,3.6041,,,,5766000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1975,385868156,21708.5,,,,3.5781,,,,6067000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1976,396051500,21426.4,,,,3.5949998,,,,5960000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1977,406487250,21537.35,,,,3.5976999,,,,5987000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1978,417267750,22492.5,,,,3.5735998,,,,6294000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1979,428541406,22653.85,,,,3.5774,,,,6333000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1980,440387718,20643.8,,,,3.6511998,,,,5654000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1981,452847125,20733.75,,,,3.6532,,,,5676000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1982,465865593,26006.5,,,,3.774,,,,6891000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1983,479365187,30714,,,,3.8527,,,,7972000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1984,493208562,32611,,,,3.8711998,,,,8424000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1985,507294843,35131,,,,3.8086998,,,,9224000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1986,521607125,36013,,,,3.8012,,,,9474000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1987,536142812,34753,,,,3.8553998,,,,9014000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1988,550874062,36055,,,,3.8339999,,,,9404000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1989,565780187,36065,,,,3.8514998,,,,9364000,,,,,,,,,,,,,,,,,,,,,,,,,,,
