Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1961,8790140,225000,0.025596863,25.596863000000003,4.5,,50000,0.0056881914,56.881913999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1962,8969055,225000,0.025086256,25.086256000000002,4.5,,50000,0.0055747232,55.747232000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1963,9157463,225000,0.024570124,24.570124,4.5,,50000,0.0054600276,54.600276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1964,9355510,265000,0.028325554,28.325554,5.0476,,52500,0.0056116665,56.116665000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1965,9565154,287000,0.030004743,30.004743,5.2181997,,55000,0.005750038,57.50038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1966,9783153,315000,0.03219821,32.198209999999996,5.25,,60000,0.006132992,61.32992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1967,10010037,372000,0.0371627,37.1627,5.6193,,66200,0.006613362,66.13362000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1968,10247782,375000,0.036593284,36.593284,5.3571,,70000,0.0068307463,68.307463,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1969,10494491,379000,0.036114186,36.114186,5.4143,,70000,0.0066701663,66.701663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1970,10752973,364000,0.033851102,33.851102000000004,5.2,,70000,0.0065098274,65.098274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1971,11015853,293000,0.02659803,26.59803,4.1857,,70000,0.006354478,63.54478,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1972,11286753,360000,0.031895798,31.895798000000003,5.1429,,70000,0.0062019606,62.019605999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1973,11575308,385000,0.033260453,33.260453000000005,5.5,,70000,0.0060473555,60.473555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1974,11869881,407000,0.034288466,34.288466,5.8143,,70000,0.005897279,58.97279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1975,12157390,420000,0.03454689,34.54689,6,,70000,0.0057578147,57.578147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1976,12425276,471000,0.037906602,37.906602,6.7286,,70000,0.005633678,56.33678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1977,12687308,430000,0.03389214,33.89214,6.1341,,70100,0.0055252067,55.252067000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1978,12938864,440000,0.034006078,34.006078,6.2411,,70500,0.005448701,54.487010000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1979,12986378,442000,0.034035664,34.035664,6.6068997,,66900,0.0051515517,51.515516999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1980,12486640,459000,0.036759287,36.759287,6.9544997,,66000,0.005285649,52.85649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1981,11155196,455000,0.040788166,40.788166000000004,7.1204996,,63900,0.0057282723,57.282723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1982,10088290,444000,0.04401142,44.01142,7.1612997,,62000,0.0061457395,61.457395,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1983,9951447,434000,0.043611746,43.611746,7.2454,,59900,0.0060192253,60.192253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1984,10243689,418000,0.04080561,40.80561,7.2317996,,57800,0.0056424984,56.424984,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1985,10512220,408000,0.038811974,38.811974,7.2339997,,56400,0.0053651845,53.651845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1986,10448447,365000,0.03493342,34.93342,7.2999997,,50000,0.0047854003,47.854003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1987,10322767,360000,0.034874372,34.874372,7.2,,50000,0.0048436625,48.436625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1988,10383459,365000,0.035152063,35.152063,7.0192,,52000,0.005007965,50.079649999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1989,10673172,365000,0.034197893,34.197893,7.0192,,52000,0.0048720287,48.720287000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1990,10694804,365000,0.03412872,34.12872,7.0192,,52000,0.0048621744,48.621744,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1991,10745168,365000,0.033968758,33.968758,7.0192,,52000,0.0048393845,48.393845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1992,12057436,330000,0.027369004,27.369004,6.9087996,,47765,0.003961456,39.614560000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1993,14003764,330000,0.023565093,23.565092999999997,6.8013,,48520,0.0034647828,34.647828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1994,15455560,330000,0.021351539,21.351539,6.685,,49365,0.0031939961,31.939961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1995,16418911,330000,0.020098776,20.098775999999997,6.4888,,50857,0.0030974648,30.974648000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1996,17106600,330000,0.0192908,19.2908,6.4129996,,51458,0.0030080788,30.080788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1997,17788818,330000,0.018550979,18.550978999999998,6.3462,,52000,0.0029231848,29.231848,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1998,18493134,330000,0.01784446,17.844459999999998,6.3462,,52000,0.0028118545,28.118545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1999,19262854,330000,0.017131418,17.131418,6.3462,,52000,0.0026994962,26.994962,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2000,19542986,330000,0.016885854,16.885854,6.3462,,52000,0.0026608012,26.608012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2001,19688634,365000,0.018538615,18.538615,7.0192,,52000,0.0026411177,26.411177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2002,21000258,365000,0.017380739,17.380739,7.0192,,52000,0.00247616,24.761599999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2003,22645136,365000,0.01611825,16.11825,7.2999997,,50000,0.0022079796,22.079795999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2004,23553554,349100,0.014821542,14.821542,6.982,,50000,0.002122822,21.22822,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2005,24411196,345700,0.014161535,14.161534999999999,6.914,,50000,0.0020482405,20.482405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2006,25442946,350000,0.013756269,13.756269,6.7307997,,52000,0.0020437886,20.437886000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2007,25903306,360000,0.01389784,13.89784,6.5455,,55000,0.0021232811,21.232810999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2008,26427204,364000,0.013773685,13.773685,6.3194,,57600,0.0021795721,21.795721,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2009,27385310,378000,0.013803021,13.803021000000001,6.2138,,60832,0.0022213368,22.213368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2010,28189672,397000,0.014083172,14.083172,6.4940996,,61132,0.0021685956,21.685956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2011,29249156,492464,0.016836861,16.836861000000003,8,,61558,0.0021046076,21.046076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2012,30466484,590065,0.019367676,19.367676,9.565,,61690,0.002024848,20.24848,,,,,,,,,,,,,,,,,,,,,,,,,,,,
