Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,870970,0.0048237885,4.8237885,0.4031257,,2160542,0.011965967,119.65966999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,883512,0.0047791996,4.7791996,0.33955243,,2601990,0.014074998,140.74998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,996674,0.0052640075,5.2640075,0.3663293,,2720705,0.014369605,143.69605,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,1162048,0.005990067,5.990067,0.41557208,,2796261,0.014414027,144.14027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,1075084,0.0054067303,5.4067302999999995,0.37271443,,2884471,0.014506361,145.06361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,1199529,0.005884538,5.884538,0.39875823,,3008161,0.014757156,147.57156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,1085561,0.005194414,5.194413999999999,0.35255468,,3079128,0.0147336405,147.336405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,1183868,0.005523738,5.523738,0.3962087,,2987991,0.013941486,139.41486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,1253504,0.0057008495,5.7008494999999995,0.41242352,,3039361,0.013822804,138.22804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,1295001,0.005739297,5.739297,0.423729,,3056201,0.013544735,135.44735,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,1266294,0.005467791,5.467791,0.4023762,,3147040,0.0135887535,135.887535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
