Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,713000,0.0082528815,8.252881499999999,2.5247874,,282400,0.0032687432,32.687432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,710700,0.008024711,8.024711,2.6667917,,266500,0.0030091256,30.091255999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,722300,0.007953293,7.953293,2.8651328,,252100,0.0027758898,27.758898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,716400,0.0076904977,7.6904977,2.4857738,,288200,0.0030938042,30.938042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,691500,0.007235179,7.235179,2.63228,,262700,0.0027486356,27.486356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,732600,0.007470683,7.470682999999999,2.7053175,,270800,0.002761481,27.614810000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,743800,0.0073943962,7.3943962,2.6291976,,282900,0.0028124156,28.124156000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,836000,0.008100959,8.100959,2.7599869,,302900,0.002935144,29.351440000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,858000,0.008100426,8.100426,2.6964173,,318200,0.003004144,30.041439999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,955000,0.00878146,8.78146,2.732475,,349500,0.0032137383,32.137383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
