Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,60393,0.0005488578,0.5488578,4.4409885,,13599,0.00013280298,1.3280298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,67265,0.00059525715,0.59525715,5.766395,,11665,0.00011093397,1.1093397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,74999,0.00064610515,0.6461051499999999,5.8026304,,12925,0.000119668104,1.19668104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,83582,0.0007008473,0.7008473,5.7946477,,14424,0.00012999536,1.2999535999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,76182,0.0006217391,0.6217391,4.1428027,,18389,0.00016131517,1.6131517000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,104348,0.000828634,0.828634,5.770822,,18082,0.00015435119,1.5435119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,85603,0.00066116656,0.66116656,4.3764315,,19560,0.00016240153,1.6240153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,88664,0.00066598906,0.6659890599999999,4.7343016,,18728,0.00015122551,1.5122551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,90309,0.00065974117,0.65974117,4.7848363,,18874,0.0001482308,1.4823080000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,90715,0.00064469466,0.64469466,4.5546517,,19917,0.0001521753,1.521753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,85641,0.0005923633,0.5923633,4.4176726,,19386,0.00014416683,1.4416683000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,108492,0.0007304654,0.7304654,4.975328,,21806,0.00015787075,1.5787075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,86234,0.00056504697,0.5650469699999999,4.752494,,18145,0.00012786732,1.2786732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,88398,0.0005636102,0.5636102000000001,4.738061,,18657,0.00012795885,1.2795885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,96502,0.0005978964,0.5978964,5.042956,,19136,0.00012755251,1.2755251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,122232,0.0007351637,0.7351637,5.125891,,23846,0.0001543047,1.5430469999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,120806,0.00070592324,0.7059232400000001,4.842118,,24949,0.00015684571,1.5684571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,110025,0.0006251287,0.6251287,4.377188,,25136,0.00015360022,1.5360022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,124677,0.0006885743,0.6885743,4.4064817,,28294,0.00016803613,1.6803613000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,135201,0.0007245468,0.7245468,4.297962,,31457,0.0001815349,1.8153489999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,141914,0.000737776,0.737776,4.4172816,,32127,0.00018015744,1.8015744,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,144832,0.0007310128,0.7310128,4.8377314,,29938,0.00016311705,1.6311704999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,161688,0.0007918514,0.7918514,5.3408203,,30274,0.00016015857,1.6015857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,161648,0.00076815847,0.7681584699999999,5.0968943,,31715,0.00016289315,1.6289315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,181558,0.00083719345,0.83719345,5.304061,,34230,0.00017068109,1.7068109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,176300,0.0007887809,0.7887809,4.930365,,35758,0.00017306452,1.7306451999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,194094,0.00084253476,0.84253476,4.985334,,38933,0.00018295956,1.8295956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,188268,0.0007933171,0.7933171,4.861289,,38728,0.00017684509,1.7684509000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,198812,0.00081424776,0.81424776,5.393852,,36859,0.00016371212,1.6371212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,218361,0.0008444977,0.8444976999999999,5.952324,,36685,0.000153548,1.53548,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,246603.12,0.0008990646,0.8990646,5.352792,,46070,0.00018043105,1.8043105000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1992,671931834,252028.88,0.0008973447,0.8973447,4.71814,,53417,0.00020432251,2.0432251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1993,689140286,234778.47,0.0006882586,0.6882585999999999,4.599531,,51044,0.00015883951,1.5883951,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1994,706488557,291297.8,0.0008339824,0.8339824,4.9753675,,58548,0.00017771884,1.7771884,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1995,724331972,362549.6,0.0010142565,1.0142565000000001,6.0199184,,60225,0.00017848694,1.7848694,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1996,742765067,298924.53,0.000817926,0.8179259999999999,5.2766905,,56650,0.00016419147,1.6419146999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1997,761224818,309693.28,0.00082900526,0.82900526,4.991591,,62043,0.00017590863,1.7590862999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1998,779908311,370238.44,0.00096943515,0.96943515,4.9725804,,74456,0.00020650182,2.0650182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1999,799099611,368757.4,0.0009446702,0.9446701999999999,5.062359,,72843,0.00019769327,1.9769327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2000,818952374,506012.94,0.0012683817,1.2683817000000002,6.0638843,,83447,0.00021523343,2.1523343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2001,839464127,446538.38,0.00109535,1.0953499999999998,5.6023884,,79705,0.00020123283,2.0123283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2002,860611762,440238.56,0.0010566756,1.0566756,5.7723336,,76267,0.00018846556,1.8846556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2003,882349569,518864.78,0.0012185152,1.2185152,5.9208837,,87633,0.00021194265,2.1194265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2004,904781595,605622.9,0.0013914043,1.3914043,6.486685,,93364,0.0002209756,2.209756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2005,927898412,502938.78,0.0011303904,1.1303904,5.9658465,,84303,0.00019526143,1.9526143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2006,951740562,538540.3,0.0011838799,1.1838799,5.8697133,,91749,0.00020791993,2.0791993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2007,976461747,564185.4,0.0012149196,1.2149196,6.019711,,93723,0.00020813462,2.0813462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2008,1001981577,576303,0.0012132,1.2132,6.076325,,94844,0.00020596945,2.0596945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2009,1028200528,655003.3,0.0013480269,1.3480269,6.336493,,103370,0.00021953207,2.1953207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
