Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1961,8790140,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1962,8969055,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1963,9157463,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1964,9355510,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1965,9565154,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1966,9783153,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1967,10010037,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1968,10247782,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1969,10494491,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1970,10752973,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1971,11015853,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1972,11286753,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1973,11575308,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1974,11869881,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1975,12157390,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1976,12425276,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1977,12687308,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1978,12938864,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1979,12986378,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1980,12486640,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1981,11155196,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1982,10088290,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1983,9951447,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1984,10243689,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1985,10512220,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1986,10448447,500,0.000047854002,0.047854002,0.7143,,700,0.0000669956,0.6699560000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1987,10322767,500,0.000048436625,0.048436625,0.7143,,700,0.00006781128,0.6781128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1988,10383459,200,0.000019261404,0.019261404,0.6667,,300,0.000028892106,0.28892106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1989,10673172,800,0.00007495429,0.07495428999999999,0.7273,,1100,0.00010306214,1.0306214,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1990,10694804,1000,0.00009350335,0.09350335,0.76919997,,1300,0.00012155435,1.2155435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1991,10745168,1331.24,0.00012389196,0.12389196000000001,0.7072,,1882,0.0001751485,1.751485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1992,12057436,500,0.000041468185,0.041468185000000005,0.7143,,700,0.00005805546,0.5805545999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1993,14003764,1556.06,0.000111117275,0.111117275,0.6854,,2270,0.00016209927,1.6209927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1994,15455560,1940.65,0.00012556322,0.12556322,0.67609996,,2871,0.0001857584,1.8575840000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
