Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
