Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,191500,0.0027359799,2.7359799,1.2354839,,155000,0.002316699,23.166990000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,193500,0.0027051712,2.7051712,1.2483871,,155000,0.0022666976,22.666976000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,197500,0.0027003034,2.7003034,1.234375,,160000,0.0022880144,22.880143999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,210500,0.0028139504,2.8139504,1.2757576,,165000,0.0023066457,23.066457000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,206606,0.0026996988,2.6996988,1.2521576,,165000,0.002254316,22.54316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,213640,0.0027285565,2.7285565000000003,1.2567059,,170000,0.002269719,22.69719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,227500,0.0028408957,2.8408957000000004,1.3382353,,170000,0.0022187794,22.187794,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,247500,0.0030217578,3.0217578,1.4558823,,170000,0.002168943,21.68943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,253829,0.0030285078,3.0285078,1.4931117,,170000,0.0021192234,21.192234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,212188,0.0024721764,2.4721764,1.6322154,,130000,0.00158222,15.8222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,217778,0.0024759865,2.4759865,1.6752154,,130000,0.0015436952,15.436952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,198739,0.0022033956,2.2033956000000003,1.5287615,,130000,0.0015051123,15.051123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,205009,0.0022143659,2.2143659,1.5769923,,130000,0.001466136,14.66136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,218500,0.0022970682,2.2970682,1.6807692,,130000,0.0014266793,14.266793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,220500,0.0022538798,2.2538798,1.6961539,,130000,0.0013867082,13.867082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,208000,0.0020666844,2.0666844,1.5407407,,135000,0.0013992357,13.992357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,216000,0.002085242,2.085242,1.6,,135000,0.0013588797,13.588797,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,226500,0.0021228485,2.1228485,1.6178571,,140000,0.0013674174,13.674174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,227000,0.0020647414,2.0647414,1.6214286,,140000,0.0013265342,13.265341999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,232500,0.0020529786,2.0529786000000003,1.6607143,,140000,0.0012862701,12.862701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,238100,0.0020415522,2.0415522,1.7007142,,140000,0.0012475748,12.475748000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,254700,0.0021197693,2.1197693,1.698,,150000,0.0012983443,12.983443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,256900,0.0020805842,2.0805842,1.605625,,160000,0.0013488932,13.488932,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,264610,0.002088643,2.088643,1.5565294,,170000,0.0013960819,13.960819,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,270300,0.0020769683,2.0769683,0.66856295,,404300,0.0032299033,32.299033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,278119,0.0020800086,2.0800086,0.6721097,,413800,0.0032179211,32.179211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,275898,0.0020081385,2.0081385000000003,0.67988664,,405800,0.0030721694,30.721694000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,245973,0.0017420576,1.7420575999999999,0.6408885,,383800,0.0028280106,28.280106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,235822,0.0016245866,1.6245866,0.6609361,,356800,0.0025579347,25.579347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,241524,0.0016178372,1.6178372,0.6513592,,370800,0.0025846723,25.846723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,266783.72,0.0017392569,1.7392569,0.7233832,,368800,0.0025029343,25.029343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1992,671931834,242003.16,0.0015369885,1.5369884999999999,0.70761156,,342000,0.002262655,22.62655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
