Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,0,0,0,0,,3500,0.00012257014,1.2257014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,0,0,0,0,,3500,0.00011895167,1.1895167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,0,0,0,0,,3500,0.000115485745,1.15485745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,0,0,0,0,,3500,0.00011214689,1.1214689,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,0,0,0,0,,3500,0.000108806096,1.08806096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,0,0,0,0,,3500,0.000105503575,1.05503575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,0,0,0,0,,3500,0.00010227192,1.0227191999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,0,0,0,0,,3500,0.000099139375,0.9913937500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,0,0,0,0,,3500,0.00009612657,0.9612656999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,0,0,0,0,,3500,0.00009323228,0.9323228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,0,0,0,0,,3500,0.00009050748,0.9050748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,0,0,0,0,,3500,0.00008792735,0.8792734999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,0,0,0,0,,3500,0.00008543627,0.8543627,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,0,0,0,0,,3500,0.000083044004,0.8304400399999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,0,0,0,0,,3500,0.00008074615,0.8074614999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,0,0,0,0,,3500,0.00007854358,0.7854358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,0,0,0,0,,3500,0.000076368255,0.76368255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,0,0,0,0,,3500,0.000074195515,0.74195515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,0,0,0,0,,3500,0.00007204896,0.7204896,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,0,0,0,0,,3500,0.00006990154,0.6990154000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,0,0,0,0,,3500,0.000067773195,0.67773195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,0,0,0,0,,3500,0.00006570123,0.6570123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
