Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,83723,0.0008339336,0.8339336,0.5581719,,149995,0.0014940443,14.940443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,113186,0.0011010222,1.1010222,0.713077,,158729,0.0015440439,15.440439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,108335,0.0010288726,1.0288726000000001,0.6973608,,155350,0.0014753806,14.753806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,108535,0.0010061712,1.0061712,0.67409277,,161009,0.0014926301,14.926301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,121172,0.0010964229,1.0964229,0.7314676,,165656,0.0014989356,14.989356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,97841,0.00086383376,0.86383376,0.6201771,,157763,0.0013928824,13.928823999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,86758,0.0007470668,0.7470667999999999,0.5941312,,146025,0.0012574106,12.574106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,110896,0.0009312109,0.9312109,0.6760962,,164024,0.0013773349,13.773349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,101680,0.0008326597,0.8326597,0.5687946,,178764,0.0014639023,14.639023000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,101625,0.00081185147,0.81185147,0.5594119,,181664,0.0014512589,14.512589,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,121470,0.0009469475,0.9469475,0.6745373,,180079,0.0014038475,14.038474999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,131166,0.0009978021,0.9978020999999999,0.6611023,,198405,0.0015093007,15.093006999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,135842,0.0010080301,1.0080301,0.6752732,,201166,0.0014927739,14.927739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,134896,0.0009761701,0.9761700999999999,0.6609147,,204105,0.0014769986,14.769986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,129128,0.0009097347,0.9097347,0.6293401,,205180,0.0014455375,14.455375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,122889,0.0008415006,0.8415006,0.7722797,,159125,0.0010896319,10.896319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,81648,0.0005440776,0.5440776,0.60999626,,133850,0.0008919359,8.919359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,80429,0.0005225807,0.5225807,0.6116181,,131502,0.0008544232,8.544232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,72621,0.00046031922,0.46031922,0.609743,,119101,0.00075493974,7.5493974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,57575,0.00035601674,0.35601674,0.5505355,,104580,0.00064667355,6.4667355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,73401,0.0004409039,0.4409039,0.68475556,,107193,0.00064388517,6.438851700000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,85749,0.0005001902,0.5001902,0.678958,,126295,0.0007367027,7.367027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,83972,0.00047547673,0.47547673,0.5546184,,151405,0.00085730426,8.573042599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
