Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,51443,0.00051457767,0.51457767,14.573088,,3530,0.000035341698,0.35341698000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,52044,0.00050647435,0.5064743500000001,14.7308235,,3533,0.000034413133,0.34413133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,57787,0.0005469782,0.5469782,16.360985,,3532,0.000033462802,0.33462801999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,65089,0.0005991982,0.5991982,15.984529,,4072,0.0000375217,0.37521699999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,57408,0.00051381893,0.5138189299999999,17.481121,,3284,0.000029421437,0.29421437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,62203,0.0005411178,0.5411178,19.121735,,3253,0.000028326884,0.28326884,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,63785,0.00053923845,0.53923845,18.552938,,3438,0.000029094661,0.29094661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,73409,0.00060312916,0.60312916,20.614716,,3561,0.00002928794,0.2928794,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,78270,0.00062514085,0.62514085,18.40348,,4253,0.0000340054,0.34005399999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,92176,0.0007159747,0.7159747,20.811922,,4429,0.00003444077,0.34440770000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
