Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1961,8790140,3531.24,0.0004017274,0.4017274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1962,8969055,3700.9,0.00041262986,0.41262986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1963,9157463,2856.68,0.000311951,0.311951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1964,9355510,3377.22,0.00036098727,0.36098727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1965,9565154,4326.84,0.00045235443,0.45235443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1966,9783153,4984.4,0.0005094881,0.5094881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1967,10010037,4961.96,0.0004956985,0.4956985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1968,10247782,2509.88,0.00024491933,0.24491933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1969,10494491,3014.44,0.00028724023,0.28724023000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1970,10752973,5648.42,0.00052528916,0.5252891599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1971,11015853,4720.22,0.0004284934,0.42849339999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1972,11286753,3278.62,0.0002904839,0.2904839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1973,11575308,2830.16,0.00024449974,0.24449974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1974,11869881,4394.16,0.00037019412,0.37019412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1975,12157390,3166.42,0.00026045227,0.26045227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1976,12425276,1587.8,0.0001277879,0.1277879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1977,12687308,4061.98,0.0003201609,0.32016089999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
