Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1961,8790140,17000,0.0019339852,1.9339852,0.36319998,,46800,0.005324147,53.24147000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1962,8969055,18000,0.0020069005,2.0069005,0.38459998,,46800,0.005217941,52.179410000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1963,9157463,18000,0.0019656098,1.9656098,0.38459998,,46800,0.0051105856,51.105856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1964,9355510,18000,0.0019239999,1.9239998999999999,0.38459998,,46800,0.0050023994,50.023994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1965,9565154,19000,0.0019863767,1.9863767,0.406,,46800,0.0048927595,48.927595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1966,9783153,20000,0.0020443306,2.0443306,0.4274,,46800,0.0047837337,47.837337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1967,10010037,20000,0.0019979947,1.9979947000000002,0.4274,,46800,0.0046753073,46.753073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1968,10247782,20500,0.002000433,2.0004329999999997,0.4437,,46200,0.004508293,45.08293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1969,10494491,21000,0.00200105,2.0010499999999998,0.44869998,,46800,0.0044594826,44.594826,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1970,10752973,20000,0.0018599507,1.8599507,0.4274,,46800,0.0043522846,43.522846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1971,11015853,16000,0.0014524522,1.4524522,0.3376,,47400,0.0043028896,43.028896,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1972,11286753,19400,0.0017188292,1.7188291999999998,0.405,,47900,0.004243913,42.43913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1973,11575308,21700,0.0018746802,1.8746802,0.4272,,50800,0.0043886523,43.886523000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1974,11869881,22800,0.001920828,1.920828,0.4524,,50400,0.0042460407,42.460407000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1975,12157390,22800,0.0018754025,1.8754024999999999,0.4043,,56400,0.004639154,46.391540000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1976,12425276,22000,0.0017705844,1.7705844000000002,0.3901,,56400,0.0045391344,45.391344000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1977,12687308,20500,0.001615788,1.615788,0.3635,,56400,0.0044453875,44.453875000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1978,12938864,20000,0.0015457307,1.5457307,0.35459998,,56400,0.004358961,43.58961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1979,12986378,19500,0.0015015734,1.5015734,0.35009998,,55700,0.0042891097,42.891097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1980,12486640,19000,0.0015216264,1.5216264,0.34989998,,54300,0.004348648,43.48648,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1981,11155196,18500,0.00165842,1.65842,0.3432,,53900,0.004831829,48.318290000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1982,10088290,18000,0.0017842469,1.7842469,0.3502,,51400,0.005095016,50.95016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1983,9951447,17500,0.0017585382,1.7585382,0.35,,50000,0.005024395,50.24395,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1984,10243689,17000,0.0016595584,1.6595583999999999,0.3498,,48600,0.0047443844,47.443844,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1985,10512220,16500,0.0015696018,1.5696018,0.35029998,,47100,0.0044805,44.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1986,10448447,16000,0.0015313281,1.5313281,0.35009998,,45700,0.004373856,43.73856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1987,10322767,15500,0.0015015354,1.5015353999999999,0.34989998,,44300,0.004291485,42.91485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1988,10383459,15000,0.0014446053,1.4446052999999999,0.3497,,42900,0.0041315714,41.315714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1989,10673172,14500,0.0013585464,1.3585463999999998,0.3502,,41400,0.0038788843,38.788843,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1990,10694804,14000,0.0013090469,1.3090469,0.35,,40000,0.003740134,37.40134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1991,10745168,13500,0.0012563787,1.2563787000000002,0.3497,,38600,0.0035923123,35.923123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1992,12057436,14228.96,0.0011800983,1.1800983,0.4084,,34842,0.002889669,28.89669,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1993,14003764,16623.88,0.0011871009,1.1871009000000001,0.4263,,39000,0.0027849656,27.849656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1994,15455560,14231.92,0.0009208285,0.9208285,0.4446,,32011,0.002071164,20.71164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1995,16418911,13705.02,0.0008347094,0.8347094,0.4632,,29590,0.0018021902,18.021902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1996,17106600,13188.56,0.0007709632,0.7709632,0.48169997,,27377,0.0016003764,16.003764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1997,17788818,12781.22,0.00071849744,0.71849744,0.49969998,,25579,0.0014379257,14.379257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1998,18493134,11152.56,0.0006030649,0.6030649,0.516,,21615,0.0011688122,11.688122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1999,19262854,10413.88,0.0005406198,0.5406198000000001,0.5779,,18021,0.00093553116,9.3553116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2000,19542986,9820.65,0.00050251535,0.50251535,0.5837,,16825,0.0008609227,8.609227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2001,19688634,9124.79,0.0004634547,0.4634547,0.5883,,15511,0.00078781496,7.8781496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2002,21000258,8450.48,0.0004023989,0.40239889999999995,0.59139997,,14289,0.0006804202,6.804202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2003,22645136,7797.19,0.00034432072,0.34432072,0.5929,,13152,0.00058078696,5.8078696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2004,23553554,8300,0.00035238842,0.35238842,0.65099996,,12750,0.0005413196,5.413195999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2005,24411196,10000,0.00040964808,0.40964807999999997,0.6028,,16588,0.00067952427,6.7952427,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2006,25442946,1100,0.000043233988,0.043233988,0.59779996,,1840,0.00007231867,0.7231867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2007,25903306,1200,0.00004632613,0.04632613,0.59999996,,2000,0.00007721022,0.7721022000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2008,26427204,1300,0.000049191734,0.049191734,0.4114,,3160,0.00011957376,1.1957376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2009,27385310,1200,0.000043819113,0.043819113,0.6742,,1780,0.00006499835,0.6499835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2010,28189672,1200,0.000042568783,0.042568783,0.67109996,,1788,0.000063427484,0.63427484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2011,29249156,2500,0.00008547255,0.08547255,0.634,,3943,0.00013480731,1.3480731000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2012,30466484,2500,0.000082057384,0.082057384,0.625,,4000,0.00013129182,1.3129182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2013,31541216,2500,0.00007926137,0.07926137,0.625,,4000,0.0001268182,1.268182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2014,32716214,2500,0.00007641471,0.07641471,0.5934,,4213,0.00012877407,1.2877407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2015,33753500,2622.18,0.00007768616,0.07768616,0.6739,,3891,0.00011527693,1.1527692999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2016,34636212,218.5,0.0000063084267,0.0063084267000000005,0.3787,,577,0.000016658865,0.16658865,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2017,35643420,20790.38,0.000583288,0.5832879999999999,0.7371,,28207,0.00079136627,7.9136627,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2018,36686788,35500.06,0.0009676524,0.9676524,1.0302,,34458,0.0009392482,9.392482,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2019,37769496,55000,0.0014562015,1.4562015,1.4352,,38323,0.0010146548,10.146548000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2020,38972236,34216,0.0008779584,0.8779584,1.1006,,31089,0.00079772173,7.9772173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2021,40099460,31000,0.0007730777,0.7730777,0.9895,,31329,0.0007812823,7.812823,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2022,41128772,29000,0.0007051025,0.7051025000000001,0.90629995,,32000,0.00077804417,7.7804417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1961,291177974,69067,0.00088091777,0.88091777,0.52120924,,132513,0.0016901422,16.901422,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,70813,0.00088136026,0.88136026,0.5485213,,129098,0.0016067933,16.067933,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,70980,0.00086190185,0.86190185,0.5624985,,126187,0.001532274,15.32274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,75935,0.00089951494,0.89951494,0.5647572,,134456,0.0015927462,15.927462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,75019,0.00086662197,0.86662197,0.54402196,,137897,0.0015929907,15.929907000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,71830,0.00080904923,0.80904923,0.5436642,,132122,0.0014881415,14.881415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,69659,0.0007649747,0.7649747,0.53853947,,129348,0.0014204618,14.204618000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,77615,0.0008309636,0.8309636,0.56759346,,136744,0.001464012,14.64012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,81840,0.0008543006,0.8543006,0.5840583,,140123,0.0014626975,14.626975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,81520,0.00083008467,0.83008467,0.58834994,,138557,0.0014108691,14.108691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,78900,0.0007841088,0.7841088,0.57422745,,137402,0.0013655021,13.655021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,95330,0.0009247682,0.9247682,0.6353512,,150043,0.001455523,14.55523,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,70200,0.0006646197,0.6646197,0.47825703,,146783,0.0013896707,13.896707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,46366,0.00042840312,0.42840312,0.5960866,,77784,0.0007186928,7.186928,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,62128,0.00056010584,0.56010584,0.53635377,,115834,0.0010442843,10.442843,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,45035,0.00039598922,0.39598922000000003,0.6228907,,72300,0.0006357282,6.357282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,48167,0.00041315288,0.41315288,0.7586788,,63488,0.0005445689,5.445689000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,53274,0.00044637223,0.44637223,0.8076591,,65961,0.00055267406,5.5267406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,58818,0.0004818899,0.4818899,0.7975214,,73751,0.00060423446,6.042344600000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,64961,0.0005205113,0.5205113,0.74482894,,87216,0.0006988334,6.988334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,56398,0.00043962072,0.43962071999999996,0.6662493,,84650,0.0006598442,6.598442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,58281,0.00044181765,0.44181765,0.62570184,,93145,0.0007061153,7.061153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,60029,0.00044235965,0.44235965,0.53647614,,111895,0.00082456536,8.245653599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,73927,0.00053049007,0.53049007,0.7107682,,104010,0.00074636156,7.4636156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,63471,0.00044450848,0.44450848000000004,0.50194544,,126450,0.0008855713,8.855713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,70553,0.00048131068,0.48131068,0.72258294,,97640,0.00066609745,6.6609745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,57700,0.00038263196,0.38263196,0.65642774,,87900,0.0005829003,5.829003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,56927,0.00036657572,0.36657572,0.7574109,,75160,0.00048398532,4.8398532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,52020,0.0003252304,0.3252304,0.7310287,,71160,0.00044489416,4.4489416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,60297,0.00036637395,0.36637395,0.6961577,,86614,0.00052628014,5.262801400000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,67500,0.0003977134,0.3977134,0.7003528,,96380,0.0005678758,5.678757999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1992,671931834,60848.53,0.00034848633,0.34848633,0.64186215,,94800,0.0005429302,5.429302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1993,689140286,62803.09,0.00035415724,0.35415724,0.6531307,,96157,0.0005422456,5.422456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1994,706488557,74319.35,0.0004085344,0.40853439999999996,0.66324586,,112054,0.00061596226,6.1596226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1995,724331972,85313.086,0.00045726585,0.45726585000000003,0.63209397,,134969,0.00072341436,7.2341436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1996,742765067,151126.45,0.00079031807,0.79031807,0.76053005,,198712,0.0010391674,10.391674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1997,761224818,96259.43,0.0004915255,0.4915255,0.61620235,,156214,0.000797669,7.97669,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1998,779908311,76913.62,0.00038358686,0.38358686,0.6517275,,118015,0.0005885694,5.885694,,,,,,,,,,,,,,,,,,,,,,,,,,,,
