Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1961,8790140,15700,0.0017860922,1.7860922000000001,4.7576,,3300,0.00037542064,3.7542064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1962,8969055,15700,0.0017504632,1.7504632,4.7576,,3300,0.00036793173,3.6793173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1963,9157463,16600,0.0018127292,1.8127292,5.0302997,,3300,0.00036036182,3.6036182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1964,9355510,17500,0.0018705555,1.8705555,5.303,,3300,0.0003527333,3.5273329999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1965,9565154,18000,0.0018818306,1.8818305999999998,5.4544997,,3300,0.00034500228,3.4500227999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1966,9783153,18500,0.0018910059,1.8910059,5.4412,,3400,0.00034753623,3.4753623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1967,10010037,20000,0.0019979947,1.9979947000000002,6.25,,3200,0.00031967915,3.1967915000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1968,10247782,20500,0.002000433,2.0004329999999997,7.069,,2900,0.00028298807,2.8298807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1969,10494491,21000,0.00200105,2.0010499999999998,7.2414,,2900,0.00027633546,2.7633546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1970,10752973,19600,0.0018227517,1.8227517,6.7585998,,2900,0.00026969286,2.6969286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1971,11015853,22700,0.0020606667,2.0606667,7.8276,,2900,0.00026325695,2.6325695000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1972,11286753,20600,0.0018251485,1.8251484999999998,7.1033998,,2900,0.00025693837,2.5693837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1973,11575308,21300,0.0018401238,1.8401238,7.3448,,2900,0.00025053328,2.5053328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1974,11869881,21900,0.0018450059,1.8450058999999999,7.2999997,,3000,0.00025274052,2.5274051999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1975,12157390,22600,0.0018589516,1.8589516,7.7931,,2900,0.00023853804,2.3853804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1976,12425276,28800,0.002317856,2.317856,6.6977,,4300,0.00034606876,3.4606876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1977,12687308,20700,0.0016315518,1.6315518,6.8999996,,3000,0.00023645678,2.3645677999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1978,12938864,24000,0.0018548769,1.8548769,8,,3000,0.00023185961,2.3185961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1979,12986378,24400,0.0018788918,1.8788918,8.4138,,2900,0.00022331091,2.2331091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1980,12486640,24400,0.0019540885,1.9540885,8.7143,,2800,0.00022423967,2.2423967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1981,11155196,24700,0.0022142148,2.2142148,9.1481,,2700,0.00024203968,2.4203968000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1982,10088290,25100,0.0024880331,2.4880331,8.9643,,2800,0.00027754952,2.7754952000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1983,9951447,24700,0.002482051,2.482051,9.1481,,2700,0.00027131732,2.7131732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1984,10243689,23900,0.002333144,2.333144,9.1923,,2600,0.00025381483,2.5381483,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1985,10512220,23000,0.0021879298,2.1879298,8.8462,,2600,0.0002473312,2.473312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1986,10448447,21300,0.0020385804,2.0385804,9.6818,,2200,0.00021055761,2.1055761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1987,10322767,21000,0.0020343382,2.0343382,9.5455,,2200,0.00021312115,2.1312115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1988,10383459,20900,0.0020128167,2.0128167,9.5,,2200,0.00021187545,2.1187545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1989,10673172,19500,0.0018270108,1.8270108,9.2857,,2100,0.000196755,1.9675500000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1990,10694804,22400,0.002094475,2.094475,10.2564,,2184,0.00020421132,2.0421132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1991,10745168,22300,0.0020753515,2.0753515,10.3241,,2160,0.0002010206,2.010206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1992,12057436,22400,0.0018577747,1.8577747,10.357699,,2163,0.00017939137,1.7939137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1993,14003764,22000,0.0015710061,1.5710061,10.3912,,2117,0.00015117365,1.5117365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1994,15455560,28955.27,0.0018734533,1.8734533,10.4248,,2778,0.00017974114,1.7974114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1995,16418911,31575.09,0.0019230929,1.9230929,10.4584,,3019,0.00018387334,1.8387334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1996,17106600,34285.18,0.0020042078,2.0042078,10.492,,3268,0.00019103738,1.9103738,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1997,17788818,37028.64,0.0020815684,2.0815684,10.525499,,3518,0.00019776469,1.9776468999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1998,18493134,38231.96,0.0020673599,2.0673599,10.6819,,3579,0.00019353129,1.9353129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1999,19262854,41760.66,0.0021679373,2.1679373,9.9719,,4188,0.00021741327,2.1741327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2000,19542986,22500,0.0011513082,1.1513082000000001,10.2273,,2200,0.00011257236,1.1257236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2001,19688634,30000,0.0015237217,1.5237217,11.111099,,2700,0.00013713496,1.3713496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2002,21000258,50000,0.0023809231,2.3809231,10,,5000,0.00023809231,2.3809231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2003,22645136,90000,0.003974363,3.974363,10.0446,,8960,0.00039566995,3.9566995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2004,23553554,50000,0.002122822,2.1228219999999998,9.9206,,5040,0.00021398044,2.1398044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2005,24411196,100000,0.004096481,4.096481,10.141,,9861,0.00040395398,4.0395398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2006,25442946,300000,0.011791088,11.791088,12,,25000,0.0009825906,9.825906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2007,25903306,300000,0.011581534,11.581534,12,,25000,0.0009651278,9.651278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2008,26427204,300000,0.011351938,11.351938,12,,25000,0.00094599486,9.459948599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2009,27385310,424800,0.015511966,15.511966000000001,12,,35400,0.0012926639,12.926639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2010,28189672,350000,0.012415894,12.415894,9.870299,,35460,0.0012579075,12.579075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2011,29249156,250000,0.008547255,8.547255,10.1145,,24717,0.00084505003,8.4505003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
