Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,207350,0.0019101863,1.9101863000000001,0.4720009,,439300,0.0053404085,53.404085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,212250,0.001914418,1.914418,0.46916446,,452400,0.005381921,53.81921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,231100,0.0020398719,2.0398718999999996,0.5355736,,431500,0.005020861,50.20861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,226900,0.0019594533,1.9594533,0.49315366,,460100,0.005235095,52.350950000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,235750,0.0019911323,1.9911323,0.5132811,,459300,0.005108443,51.08443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,209139,0.0017272145,1.7272145,0.44821903,,466600,0.005071488,50.71488,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,220652,0.0017820944,1.7820944,0.47505066,,464481,0.0049341423,49.341423000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,232875,0.0018389303,1.8389303,0.34385332,,677251,0.007030814,70.30814,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,210850,0.0016273814,1.6273814,0.39367872,,535589,0.005432269,54.32269,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,246989,0.0018629559,1.8629559,0.3197219,,772512,0.007652491,76.52491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,206373,0.0015209742,1.5209742000000002,0.37591052,,548995,0.0053107264,53.107264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,248100,0.0017858939,1.7858939,0.504884,,491400,0.004640576,46.40576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,340606,0.0023928436,2.3928436,0.5552076,,613475,0.0056513553,56.513553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,218229,0.0014952694,1.4952694,0.8509977,,256439,0.002302663,23.02663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,395835,0.0026436215,2.6436214999999996,0.9750831,,405950,0.0035506214,35.506214,,,,,,,,,,,,,,,,,,,,,,,,,,,,
