Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Americas (FAO),2017,996737125,140,,,,185.7,,,,754,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Americas (FAO),2018,1005448750,160,,,,240.40001,,,,665,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Americas (FAO),2019,1013668375,124,,,,190.5,,,,651,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Americas (FAO),2020,1020662625,112,,,,212.90001,,,,526,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Americas (FAO),2021,1026253562,170,,,,217.40001,,,,782,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Americas (FAO),2022,,137,,,,204.2,,,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,2016,43668236,0,0,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,2017,44054616,140,0.0000031778736,0.0031778736,,185.7,,,,754,0.000017115119,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,2018,44413592,160,0.0000036025008,0.0036025008,,240.40001,,,,665,0.000014972894,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,2019,44745516,124,0.0000027712274,0.0027712274,,190.5,,,,651,0.000014548944,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,2020,45036032,112,0.0000024868975,0.0024868975000000002,,212.90001,,,,526,0.000011679537,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,2021,45276788,170,0.0000037546833,0.0037546832999999996,,217.40001,,,,782,0.000017271543,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,2022,45510324,137,0.000003010306,0.003010306,,204.2,,,,671,0.000014743908,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1961,1725304326,2500,0.0000038152775,0.0038152775,,,,,,25000,0.000038152775,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1962,1760632925,2700,0.0000040625046,0.0040625046,,,,,,27000,0.000040625044,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1963,1806724539,2850,0.0000041672542,0.0041672542,,,,,,28500,0.00004167254,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1964,1854882565,3000,0.0000042577726,0.0042577726,,,,,,30000,0.000042577725,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1965,1901594742,3600,0.0000049734313,0.0049734313,,,,,,36000,0.000049734314,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1966,1948036863,4000,0.000005383953,0.005383953,,,,,,40000,0.00005383953,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1967,1994226633,4300,0.000005650413,0.005650413,,,,,,43000,0.000056504134,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1968,2042761361,4600,0.000005894625,0.0058946250000000006,,,,,,46000,0.000058946247,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1969,2093665797,5000,0.0000062388403,0.0062388403,,,,,,50000,0.000062388404,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1970,2144906508,5500,0.00000668665,0.00668665,,,,,,55000,0.0000668665,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1971,2195423804,6000,0.0000071150284,0.0071150284,,,,,,60000,0.00007115029,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1972,2245577141,6800,0.000007880948,0.007880948,,,,,,68000,0.00007880948,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1973,2296593872,7500,0.000008506757,0.008506757,,,,,,75000,0.00008506757,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1974,2346946783,8600,0.000009562274,0.009562274,,,,,,86000,0.00009562274,,,,,,,,,,,,,,,,,,,,,,,,,,
