Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,2016,34636212,600,0.000017322911,0.017322911,1.0399,,577,0.000016658865,0.16658865,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2017,35643420,600,0.0000168334,0.016833400000000002,1.0239,,586,0.000016440623,0.16440623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2018,36686788,1300,0.0000354351,0.035435100000000004,1.0647,,1221,0.000033281736,0.33281736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2019,37769496,1700,0.000045009867,0.045009867,1.0052999,,1691,0.00004477158,0.4477158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2020,38972236,1298,0.00003330576,0.03330576,0.89089996,,1457,0.000037385587,0.37385587000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2021,40099460,1139,0.000028404373,0.028404373,1.0605,,1074,0.000026783404,0.26783404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2022,41128772,1032.98,0.00002511575,0.02511575,1.033,,1000,0.00002431388,0.2431388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1993,689140286,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1994,706488557,2500,0.00004494769,0.044947690000000005,0.625,,4000,0.0000719163,0.719163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1995,724331972,1500,0.000026097605,0.026097605,0.6,,2500,0.000043496006,0.43496006000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1996,742765067,2085.58,0.000035141744,0.035141744,0.6078636,,3431,0.00005781189,0.5781189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1997,761224818,2090.02,0.000034131983,0.034131983,0.6079174,,3438,0.000056145756,0.56145756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1998,779908311,2105.13,0.000033342523,0.033342523,0.60841906,,3460,0.000054801905,0.5480190500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1999,799099611,2129.37,0.000032720483,0.032720483,0.6094362,,3494,0.00005368976,0.5368976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2000,818952374,2161.05,0.000032239142,0.032239142000000005,0.6109839,,3537,0.000052765943,0.52765943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2001,839464127,2198.68,0.000031856183,0.031856183,0.61278707,,3588,0.000051985735,0.51985735,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2002,860611762,2240.66,0.000031526077,0.031526077,0.615059,,3643,0.000051256997,0.51256997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2003,882349569,2285.39,0.000031234467,0.031234467,0.617506,,3701,0.000050581635,0.50581635,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2004,904781595,2331.31,0.000030959873,0.030959873000000002,0.61904144,,3766,0.0000500126,0.5001260000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2005,927898412,2376.83,0.000030680672,0.030680672000000003,0.6196116,,3836,0.000049515977,0.49515977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2006,951740562,2420.38,0.000030372039,0.030372039,0.6202921,,3902,0.000048964088,0.48964088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2007,976461747,2460.37,0.00003000591,0.03000591,0.62099195,,3962,0.00004831932,0.4831932,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2008,1001981577,2495.23,0.00002957937,0.02957937,0.62147695,,4015,0.00004759528,0.4759528,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2009,1028200528,2523.38,0.00002908608,0.02908608,0.62198174,,4057,0.000046763562,0.46763562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2010,1055233717,3000,0.000033618042,0.033618041999999994,0.62227756,,4821,0.000054024193,0.54024193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2011,1082676070,2516.36,0.000027405975,0.027405975,0.6222453,,4044,0.00004404368,0.44043679999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2012,1110797495,2500,0.000026468673,0.026468672999999998,0.625,,4000,0.000042349875,0.42349875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2013,1140180888,2500,0.000025750796,0.025750796,0.625,,4000,0.000041201274,0.41201274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2014,1170299297,2600.92,0.00002607523,0.026075229999999998,0.6234228,,4172,0.000041825915,0.41825915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2015,1201108186,2629.04,0.000025656205,0.025656205,0.62329066,,4218,0.000041162504,0.41162504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
