Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1991,10745168,819241.4,0.07624277,76.24277000000001,19.3626,,42310,0.003937584,39.375840000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1992,12057436,792426.75,0.065721,65.721,19.1111,,41464,0.0034388737,34.388737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1993,14003764,765612.1,0.05467188,54.67188,18.859499,,40596,0.002898935,28.98935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1994,15455560,738797.44,0.0478014,47.8014,18.608,,39703,0.002568849,25.688489999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1995,16418911,711982.8,0.043363582,43.363582,18.3564,,38787,0.002362337,23.623369999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1996,17106600,685168.2,0.040052857,40.052856999999996,18.1049,,37844,0.0022122455,22.122455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1997,17788818,658353.5,0.0370094,37.0094,17.8533,,36876,0.0020729876,20.729875999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1998,18493134,631538.9,0.03414991,34.14991,17.601799,,35879,0.0019401255,19.401255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1999,19262854,604724.25,0.031393286,31.393286,17.350199,,34854,0.0018093892,18.093892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2000,19542986,577909.56,0.029571202,29.571202,17.0987,,33798,0.0017294184,17.294184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2001,19688634,551094.94,0.02799051,27.99051,16.8471,,32712,0.0016614662,16.614662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
