Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,11517127,0.09532636,95.32636,3.3431718,,3444970,0.028513746,285.13746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,11023448,0.089178376,89.178376,3.4049575,,3237470,0.026190747,261.90747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,11298880,0.08931495,89.31495000000001,3.3974442,,3325700,0.026288865,262.88865000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,11224239,0.086663716,86.66371600000001,3.3669014,,3333700,0.025739903,257.39903000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,11245500,0.0847897,84.7897,3.3127127,,3394650,0.025595246,255.95245999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,10845900,0.07984069,79.84069000000001,3.3002875,,3286350,0.02419204,241.9204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,10054375,0.07225417,72.25417,3.556339,,2827170,0.020317009,203.17009000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,10413967,0.07303738,73.03738,3.6081307,,2886250,0.020242441,202.42441,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,10676092,0.07304239,73.04239,3.5710173,,2989650,0.020454226,204.54226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,10567645,0.07048486,70.48486,3.6043675,,2931900,0.019555405,195.55405000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,10602773,0.068905085,68.905085,3.6149309,,2933050,0.019061247,190.61247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,10304501,0.06525233,65.25233,3.711448,,2776410,0.017581366,175.81366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,10300219,0.063511215,63.51121499999999,3.6962624,,2786658,0.017182551,171.82551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,11076563,0.06642146,66.42146,3.7367773,,2964202,0.017775064,177.75064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,11035635,0.06431849,64.31849000000001,3.781351,,2918437,0.017009394,170.09394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,10850500,0.06147047,61.47047,3.737514,,2903133,0.016446888,164.46887999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,10664874,0.058716632,58.716632,3.616858,,2948657,0.016234154,162.34154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,10617807,0.05673767,56.737669999999994,3.7754054,,2812362,0.015028232,150.28232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,11331519,0.058744945,58.744945,3.5968816,,3150373,0.016332187,163.32187000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,11525360,0.057971887,57.971887,3.6643887,,3145234,0.015820343,158.20343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,10481833,0.05118197,51.18197,3.689265,,2841171,0.013873215,138.73215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,10598236,0.050292034,50.292034,3.7106383,,2856176,0.013553473,135.53473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,10155303,0.04688714,46.88714,3.697985,,2746172,0.012679105,126.79105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,10995579,0.049381934,49.381934,3.6126637,,3043621,0.01366912,136.6912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,10998667,0.048007745,48.007745,3.6477308,,3015208,0.01316099,131.60989999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
