Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,1131882,0.009368499,9.368499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,1111006,0.008987905,8.987905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,1145004,0.009050984,9.050984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,1160831,0.008962917,8.962917000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,1138860,0.008586866,8.586866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,1151649,0.008477715,8.477715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,1100007,0.007905026,7.905026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,1154021,0.008093618,8.093618000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,1195096,0.008176464,8.176464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,1077079,0.007183981,7.183981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,1076657,0.006996957,6.996957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,1038590,0.0065767774,6.5767774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,1011109,0.0062345047,6.2345047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,1122520,0.006731277,6.7312769999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,1176662,0.0068578855,6.8578855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,1168855,0.006621821,6.621821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,1141017,0.006281994,6.281994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,1174500,0.0062760976,6.2760976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,1278750,0.006629305,6.6293050000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,1357485,0.00682807,6.82807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,1176404,0.0057442887,5.7442887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,1162085,0.0055144667,5.5144667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,1147074,0.0052960524,5.2960524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,1182465,0.005310535,5.310535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,1333142,0.0058189905,5.8189905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,1406384,0.005968606,5.968606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,1487413,0.0061367126,6.1367126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,1468895,0.005891561,5.891561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,1534097,0.005982302,5.982302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,1643970,0.006236525,6.236524999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,1662840,0.0061394414,6.1394414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
