Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,452374,0.0032220802,3.2220802,8.984588,,50350,0.00038446454,3.8446454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,453065,0.0031491998,3.1491998,9.016219,,50250,0.00037421496,3.7421496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,452044,0.0030652403,3.0652403,8.9959,,50250,0.00036488718,3.6488717999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,460089,0.003043106,3.043106,9.047965,,50850,0.00036001287,3.6001287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,507252,0.0032709609,3.2709609,9.139676,,55500,0.00038294352,3.8294352,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,511519,0.0032142613,3.2142613,9.167007,,55800,0.00037509605,3.7509605,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,516158,0.0031600432,3.1600432,9.176143,,56250,0.00036836322,3.6836322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,521743,0.0031115406,3.1115406,9.226225,,56550,0.00036072472,3.6072471999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,526262,0.003056805,3.056805,9.240772,,56950,0.0003538159,3.538159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,592743,0.00335256,3.35256,9.3862705,,63150,0.00038202596,3.8202596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,598139,0.0032943983,3.2943983,9.404701,,63600,0.0003746619,3.7466190000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,604741,0.0032430098,3.2430098000000003,9.434337,,64100,0.00036766054,3.6766054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,602151,0.0031421666,3.1421666,9.408609,,64000,0.00035719617,3.5719617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,612615,0.003109075,3.1090750000000003,9.468547,,64700,0.00035118553,3.5118553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,646133,0.0031877323,3.1877323,9.243677,,69900,0.00036881267,3.6881267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,648210,0.0031091436,3.1091436000000003,9.246933,,70100,0.0003595664,3.5956639999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,651584,0.003037984,3.0379840000000002,9.255455,,70400,0.0003509656,3.509656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,648054,0.0029342845,2.9342845,9.153305,,70800,0.00034271157,3.4271157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,662635,0.0029121635,2.9121634999999997,9.346051,,70900,0.00033305012,3.3305012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,683653,0.002914713,2.9147130000000003,8.995434,,76000,0.00034631343,3.4631343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,695643,0.002878557,2.878557,9.069661,,76700,0.0003392444,3.3924440000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,695474,0.00279671,2.79671,9.043875,,76900,0.0003304488,3.304488,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,706977,0.0027662616,2.7662616,9.134069,,77400,0.0003235254,3.235254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,711399,0.0027080786,2.7080786,9.179342,,77500,0.0003151593,3.151593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,721385,0.002669736,2.669736,9.217799,,78260,0.00030941612,3.0941612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,724515,0.0026076988,2.6076988,9.234196,,78460,0.00030171272,3.0171272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,733884,0.0025704098,2.5704097999999997,9.28262,,79060,0.00029587856,2.9587856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,740969,0.0025262083,2.5262083,9.298726,,79685,0.000290308,2.90308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,835749,0.0027728053,2.7728053,9.652353,,86585,0.00030696983,3.0696983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,893822,0.0028857088,2.8857088,9.566244,,93435,0.00032233377,3.2233377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,939696.9,0.002955221,2.955221,9.720164,,96675,0.00032487285,3.2487285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1992,671931834,976680,0.0029959597,2.9959597000000002,9.86147,,99040,0.00032464907,3.2464907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1993,689140286,1075010.9,0.0027702213,2.7702212999999998,9.731335,,110469,0.00030133748,3.0133748000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1994,706488557,1113432.4,0.0027995754,2.7995754,9.795909,,113663,0.0003025183,3.0251829999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1995,724331972,1026415.94,0.002519182,2.519182,9.48681,,108194,0.00028107123,2.8107122999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1996,742765067,1044979.6,0.0024989902,2.4989902,9.404318,,111117,0.0002811986,2.811986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1997,761224818,1068668.4,0.0024928409,2.4928409,9.562087,,111761,0.0002758197,2.7581969999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1998,779908311,1157010.9,0.002635793,2.635793,9.529547,,121413,0.000292583,2.92583,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1999,799099611,1150743.2,0.002560074,2.5600739999999997,9.403878,,122369,0.00028792094,2.8792093999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2000,818952374,1125690.5,0.0024457062,2.4457061999999996,9.320481,,120776,0.00027746276,2.7746276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2001,839464127,1148150.4,0.002435544,2.435544,9.363483,,122620,0.00027497837,2.7497836999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2002,860611762,1160159.8,0.0024022907,2.4022907,9.384432,,123626,0.00027055762,2.7055762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2003,882349569,1165129.1,0.0023549907,2.3549907,9.351031,,124599,0.000266123,2.66123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2004,904781595,1171201.5,0.0023104213,2.3104213000000002,9.337714,,125427,0.00026140452,2.6140452,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2005,927898412,1235543.4,0.0023785029,2.3785029,9.826332,,125738,0.00025566944,2.5566944,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2006,951740562,1242273.6,0.0023332897,2.3332897,9.872635,,125830,0.00024957454,2.4957453999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
