Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1961,8790140,12000,0.0013651659,1.3651659,6.6298,,1810,0.00020591254,2.0591254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1962,8969055,12000,0.0013379336,1.3379336,6.6298,,1810,0.00020180499,2.0180499000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1963,9157463,12000,0.0013104066,1.3104066,6.6298,,1810,0.00019765299,1.9765299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1964,9355510,14700,0.0015712666,1.5712666,7.6562996,,1920,0.00020522665,2.0522665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1965,9565154,16300,0.0017041021,1.7041020999999998,8.0693,,2020,0.00021118321,2.1118321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1966,9783153,18200,0.0018603409,1.8603409,8.1614,,2230,0.00022794287,2.2794287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1967,10010037,22100,0.002207784,2.2077839999999997,8.8755,,2490,0.00024875032,2.4875032000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1968,10247782,22300,0.0021760806,2.1760806,9.139299,,2440,0.0002381003,2.381003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1969,10494491,22500,0.002143982,2.143982,9.072599,,2480,0.00023631446,2.3631446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1970,10752973,21800,0.0020273463,2.0273463,8.719999,,2500,0.00023249384,2.3249383999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
