Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1961,8790140,2000,0.00022752766,0.22752766000000002,6.6667,,300,0.00003412915,0.3412915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1962,8969055,2000,0.00022298894,0.22298894000000002,6.6667,,300,0.00003344834,0.3344834,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1963,9157463,2000,0.0002184011,0.2184011,6.6667,,300,0.000032760167,0.32760167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1964,9355510,2400,0.00025653333,0.25653333,7.5,,320,0.00003420444,0.34204439999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1965,9565154,2700,0.0002822746,0.2822746,7.9412,,340,0.00003554569,0.3554569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1966,9783153,3000,0.0003066496,0.3066496,8.1081,,370,0.00003782012,0.3782012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1967,10010037,3700,0.000369629,0.369629,8.8095,,420,0.000041957886,0.41957886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1968,10247782,3700,0.00036105374,0.36105374,9.0244,,410,0.000040008657,0.40008657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1969,10494491,3700,0.00035256593,0.35256593,8.8095,,420,0.000040020997,0.40020997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1970,10752973,3600,0.00033479114,0.33479114,8.5714,,420,0.000039058967,0.39058967000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1971,11015853,2900,0.00026325695,0.26325695,6.9048,,420,0.00003812687,0.3812687,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1972,11286753,3500,0.00031009805,0.31009805,8.1395,,430,0.000038097758,0.38097758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1973,11575308,3700,0.00031964591,0.31964591000000003,8.4091,,440,0.00003801195,0.3801195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1974,11869881,3700,0.00031171332,0.31171332,8.4091,,440,0.00003706861,0.3706861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1975,12157390,3700,0.00030434164,0.30434164,8.222199,,450,0.000037014524,0.37014524000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1976,12425276,3500,0.0002816839,0.2816839,7.7777996,,450,0.0000362165,0.362165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1977,12687308,2100,0.00016551974,0.16551974,4.6667,,450,0.000035468518,0.35468518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1978,12938864,3000,0.00023185961,0.23185961,6.8181996,,440,0.000034006076,0.34006076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1979,12986378,2900,0.00022331091,0.22331091,6.7441998,,430,0.00003311162,0.33111619999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1980,12486640,3000,0.00024025679,0.24025679000000003,6.9767,,430,0.000034436805,0.34436805000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1981,11155196,2900,0.00025996854,0.25996854,6.9048,,420,0.000037650614,0.37650614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1982,10088290,2800,0.00027754952,0.27754952,7,,400,0.00003964993,0.39649929999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1983,9951447,2800,0.0002813661,0.2813661,7.1794996,,390,0.00003919028,0.3919028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1984,10243689,2700,0.00026357692,0.26357692000000005,7.2973,,370,0.0000361198,0.361198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1985,10512220,2500,0.00023781846,0.23781846,6.9444,,360,0.00003424586,0.3424586,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1986,10448447,2600,0.0002488408,0.2488408,7.4286,,350,0.0000334978,0.33497800000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1987,10322767,2200,0.00021312115,0.21312115,7.3332996,,300,0.000029061976,0.29061976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1988,10383459,2200,0.00021187545,0.21187545,6.875,,320,0.000030818246,0.30818246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1989,10673172,2300,0.00021549358,0.21549358,7.1875,,320,0.000029981715,0.29981715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1990,10694804,2296,0.00021468369,0.21468369,7.1084,,323,0.000030201581,0.30201581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1991,10745168,2282.12,0.00021238571,0.21238571,11.3001995,,202,0.000018799148,0.18799148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1992,12057436,2331.07,0.00019333049,0.19333049,11.1985,,208,0.000017250766,0.17250766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1993,14003764,2391.31,0.00017076195,0.17076195000000002,11.0967,,215,0.000015353015,0.15353015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1994,15455560,2468.58,0.00015972117,0.15972117000000002,10.995,,225,0.000014557868,0.14557868000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1995,16418911,2545.85,0.00015505597,0.15505597,10.8932,,234,0.000014251858,0.14251858,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1996,17106600,2623.12,0.00015333966,0.15333966,10.7915,,243,0.000014205044,0.14205044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1997,17788818,2700.39,0.00015180265,0.15180265,10.6897,,253,0.000014222418,0.14222418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1998,18493134,2777.66,0.00015019953,0.15019953,10.587999,,262,0.00001416742,0.1416742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1999,19262854,2854.93,0.00014820909,0.14820909,10.486199,,272,0.000014120441,0.14120441,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2000,19542986,2932.2,0.00015003848,0.15003848,10.384399,,282,0.000014429729,0.14429729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2001,19688634,2923.16,0.00014846941,0.14846941,10.2827,,284,0.000014424566,0.14424566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2002,21000258,3856.73,0.00018365156,0.18365156,10.1809,,379,0.000018047398,0.18047398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2003,22645136,4384.45,0.00019361553,0.19361553,10.0792,,435,0.000019209423,0.19209422999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2004,23553554,2616.73,0.00011109703,0.11109703,10.2216,,256,0.000010868848,0.10868847999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2005,24411196,3346.22,0.00013707727,0.13707727,10.9712,,305,0.000012494267,0.12494266999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2006,25442946,3540,0.00013913483,0.13913483000000001,10.1143,,350,0.000013756268,0.13756268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2007,25903306,2145,0.000082807965,0.082807965,6.1285996,,350,0.000013511789,0.13511789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2008,26427204,3500,0.00013243928,0.13243928,10,,350,0.000013243928,0.13243928,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2009,27385310,3000,0.000109547786,0.10954778600000001,13.3333,,225,0.000008216084,0.08216084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2010,28189672,2418.64,0.0000857988,0.0857988,10.9938,,220,0.000007804277,0.07804277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2011,29249156,2455.13,0.00008393849,0.08393849,10.911699,,225,0.00000769253,0.0769253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2012,30466484,3000,0.00009846886,0.09846886,13.3333,,225,0.0000073851647,0.073851647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2013,31541216,2566,0.00008135387,0.08135387,8.0439,,319,0.000010113751,0.10113751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2014,32716214,5056,0.0001545411,0.1545411,8,,632,0.000019317638,0.19317638,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2015,33753500,5058,0.00014985113,0.14985113,7.0544,,717,0.000021242242,0.21242242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2016,34636212,5226,0.00015088255,0.15088255,3.8825998,,1346,0.000038861064,0.38861064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
