Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,84400,0.0017359146,1.7359146,0.528309,,159755,0.0032857943,32.857943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,87400,0.0017461765,1.7461765,0.53207034,,164264,0.003281853,32.81853,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,105744,0.0020518994,2.0518994,0.5299309,,199543,0.0038720134,38.720134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,99360,0.0018711223,1.8711223,0.4992463,,199020,0.003747894,37.47894,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,101903,0.001861673,1.8616730000000001,0.53888416,,189100,0.003454681,34.54681,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,86770,0.001537533,1.537533,0.49822003,,174160,0.0030860521,30.860521000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,105928,0.0018198345,1.8198345,0.55663687,,190300,0.0032693385,32.693385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,111544,0.0018572451,1.8572451,0.5152148,,216500,0.0036047976,36.047976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,136188,0.0021976328,2.1976328,0.5916073,,230200,0.0037146818,37.146817999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,132406,0.0020712516,2.0712515999999996,0.58768755,,225300,0.0035244098,35.244098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,132535,0.002011348,2.011348,0.56325966,,235300,0.0035709073,35.709073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,136908,0.0020199185,2.0199185,0.5308569,,257900,0.0038050148,38.050148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,123100,0.001765751,1.765751,0.5646789,,218000,0.0031270003,31.270003000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,141600,0.0019716416,1.9716415999999999,0.55226207,,256400,0.0035701194,35.701194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,121600,0.0016434729,1.6434729000000001,0.58772355,,206900,0.0027963368,27.963368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,141900,0.0018622198,1.8622198,0.5774936,,245717,0.0032246585,32.246585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,146500,0.0018663607,1.8663607,0.55541444,,263767,0.003360303,33.60303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,149500,0.001844748,1.844748,0.56864,,262908,0.0032441407,32.441407000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,120274,0.0014366522,1.4366522,0.5676649,,211875,0.0025308102,25.308102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,131361,0.0015206273,1.5206273,0.6296392,,208629,0.002415077,24.150769999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,133988,0.0015046906,1.5046906,0.6141111,,218182,0.0024501926,24.501926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,141645,0.0015439091,1.5439091,0.6180378,,229185,0.002498082,24.98082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,147402,0.0015579091,1.5579090999999998,0.62276924,,236688,0.0025015832,25.015832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,135759,0.0013901886,1.3901886,0.54987425,,246891,0.0025281936,25.281935999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,144716,0.0014355385,1.4355385,0.6014946,,240594,0.002386619,23.86619,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,150722,0.0014487664,1.4487664,0.593604,,253910,0.0024406277,24.406277000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,151830,0.0014121227,1.4121227,0.6025,,252000,0.0023437722,23.437722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,171087,0.0015393227,1.5393227,0.65574694,,260904,0.002347434,23.474339999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,218904,0.0019079372,1.9079372,0.52544487,,416607,0.0036310893,36.310893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,263672,0.0022270146,2.2270146,0.6326529,,416772,0.0035201209,35.201209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,227315.98,0.0018625646,1.8625646,0.5504512,,412963,0.0033837052,33.837052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1992,671931834,243988,0.0019413087,1.9413087,0.56720024,,430162,0.003422616,34.22616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1993,689140286,253265,0.0019605523,1.9605523,0.6106965,,414715,0.0032103544,32.103544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1994,706488557,259926,0.0019461251,1.9461251,0.6492988,,400318,0.002997272,29.97272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1995,724331972,251018,0.001819836,1.819836,0.61262304,,409743,0.002970564,29.705640000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1996,742765067,263318,0.0018693586,1.8693586,0.5780006,,455567,0.003234181,32.34181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1997,761224818,270069,0.0018782072,1.8782072,0.6122584,,441103,0.003067671,30.67671,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1998,779908311,283499,0.0019222767,1.9222766999999998,0.589509,,480907,0.0032608097,32.608097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1999,799099611,327844,0.002161818,2.161818,0.67735946,,484003,0.0031915377,31.915377000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2000,818952374,335498,0.0021502678,2.1502678,0.6354706,,527952,0.0033837403,33.837403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2001,839464127,355669,0.0022146662,2.2146662000000004,0.6759005,,526215,0.0032766156,32.766155999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2002,860611762,379994.78,0.0022983598,2.2983598,0.707508,,537089,0.003248528,32.48528,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2003,882349569,402018,0.0023623053,2.3623053,0.70343375,,571508,0.0033582484,33.582484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2004,904781595,388578.66,0.0022175678,2.2175678,0.6787851,,572462,0.003266966,32.66966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2005,927898412,373182.8,0.0020673051,2.0673050999999996,0.62592614,,596209,0.003302794,33.02794,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2006,951740562,456168,0.0024522082,2.4522082000000003,0.75035405,,607937,0.0032680682,32.680682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2007,976461747,473126.12,0.0024676751,2.4676751,0.8372832,,565073,0.0029472408,29.472408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2008,1001981577,362251.8,0.0018331248,1.8331248,0.68586344,,528169,0.0026727256,26.727256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2009,1028200528,373793.88,0.0018354184,1.8354184,0.8262026,,452424,0.0022215112,22.215111999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2010,1055233717,486388.66,0.0023176542,2.3176541999999998,0.8343288,,582970,0.0027778668,27.778668000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2011,1082676070,602316.06,0.002784979,2.784979,0.897098,,671405,0.0031044313,31.044313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2012,1110797495,638850.2,0.0028667992,2.8667992,0.8140324,,784797,0.0035217262,35.217262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2013,1140180888,728297.25,0.003171289,3.171289,0.90040964,,808851,0.0035220515,35.220515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2014,1170299297,868882.2,0.0036707222,3.6707222,1.083501,,801921,0.0033878346,33.878346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2015,1201108186,833566.9,0.0034173094,3.4173094,1.242394,,670936,0.0027505844,27.505844,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2016,1232111820,797377.44,0.0031700965,3.1700965,1.1198775,,712022,0.002830753,28.30753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2017,1263333997,853777,0.003291049,3.2910489999999997,1.1200866,,762242,0.0029382093,29.382092999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2018,1295265310,644833.75,0.00241254,2.41254,1.2896624,,500002,0.0018706756,18.706756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2019,1327701380,625429.9,0.0022725288,2.2725288,1.1871141,,526849,0.0019143305,19.143305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2020,1360677453,794898.8,0.002805345,2.805345,1.204717,,659822,0.002328634,23.28634,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2021,1393676724,798307.9,0.0027376397,2.7376397,1.1805184,,676235,0.0023190149,23.190149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2022,1426736614,723053.2,0.0024108465,2.4108465,1.159845,,623405,0.0020785937,20.785937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1961,270510687,84400,,,0.5283,,159755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1962,277177281,87400,,,0.53209996,,164264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1963,284055281,105744,,,0.5299,,199543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1964,291157437,99360,,,0.4992,,199020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1965,298478343,101903,,,0.53889996,,189100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1966,306022281,86770,,,0.4982,,174160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1967,313800031,105928,,,0.5566,,190300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1968,321824625,111544,,,0.51519996,,216500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1969,330113875,136188,,,0.5916,,230200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1970,338682843,132406,,,0.5877,,225300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1971,347551343,132535,,,0.5633,,235300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1972,356727468,136908,,,0.5309,,257900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1973,366190468,123100,,,0.5647,,218000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1974,375910812,141600,,,0.5523,,256400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1975,385868156,121600,,,0.5877,,206900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1976,396051500,141900,,,0.5775,,245717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1977,406487250,146500,,,0.5554,,263767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1978,417267750,149500,,,0.5686,,262908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1979,428541406,120274,,,0.56769997,,211875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1980,440387718,131361,,,0.6296,,208629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1981,452847125,133988,,,0.6141,,218182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1982,465865593,141645,,,0.618,,229185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1983,479365187,147402,,,0.6228,,236688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1984,493208562,135759,,,0.5499,,246891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1985,507294843,144716,,,0.6015,,240594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1986,521607125,150722,,,0.5936,,253910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1987,536142812,151830,,,0.60249996,,252000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1988,550874062,171087,,,0.65569997,,260904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1989,565780187,218904,,,0.5254,,416607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1990,580821250,263672,,,0.63269997,,416772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1991,595983750,227315.97,,,0.5505,,412963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1992,611269625,243988,,,0.5672,,430161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa (FAO),1993,620328000,253265,,,0.6107,,414715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
