Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1961,8790140,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1962,8969055,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1963,9157463,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1964,9355510,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1965,9565154,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1966,9783153,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1967,10010037,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1968,10247782,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1969,10494491,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1970,10752973,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1971,11015853,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1972,11286753,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1973,11575308,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1974,11869881,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1975,12157390,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1976,12425276,3700,0.00029778012,0.29778012,0.79569995,,4650,0.00037423716,3.7423716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1977,12687308,2700,0.00021281111,0.21281111,0.57449996,,4700,0.00037044895,3.7044895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1978,12938864,3800,0.00029368885,0.29368885,0.8085,,4700,0.00036324674,3.6324674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1979,12986378,2000,0.00015400753,0.15400753,0.4348,,4600,0.0003542173,3.542173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1980,12486640,3200,0.0002562739,0.2562739,0.7111,,4500,0.00036038517,3.6038517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1981,11155196,2600,0.00023307525,0.23307524999999998,0.5909,,4400,0.00039443502,3.9443501999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1982,10088290,3200,0.00031719945,0.31719945,0.7442,,4300,0.00042623674,4.2623674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1983,9951447,2500,0.00025121975,0.25121975,0.5952,,4200,0.00042204917,4.2204917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1984,10243689,3000,0.00029286323,0.29286323,0.75,,4000,0.00039048432,3.9048431999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1985,10512220,2200,0.00020928025,0.20928025,0.59459996,,3700,0.00035197134,3.5197134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1986,10448447,2600,0.0002488408,0.2488408,0.7647,,3400,0.00032540722,3.2540722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1987,10322767,2000,0.0001937465,0.1937465,0.64519995,,3100,0.0003003071,3.0030710000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1988,10383459,2200,0.00021187545,0.21187545,0.7586,,2900,0.00027929037,2.7929037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1989,10673172,1700,0.00015927786,0.15927786,0.6071,,2800,0.00026234,2.6234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1990,10694804,2000,0.0001870067,0.1870067,0.7407,,2700,0.00025245905,2.5245905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1991,10745168,2000,0.00018613017,0.18613017,0.7881,,2538,0.0002361992,2.361992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
