Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Asia,1961,1725304326,19700,0.00004056013,0.04056013,0.50904393,,38700,0.0013187143,13.187143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1962,1760632925,20700,0.00004163582,0.04163582,0.575,,36000,0.0011942722,11.942722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1963,1806724539,20000,0.000039301227,0.039301227,0.5263158,,38000,0.0012275359,12.275359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1964,1854882565,9000,0.000017280645,0.017280645,0.32142857,,28000,0.00088176265,8.8176265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1965,1901594742,12000,0.000022529399,0.022529399,0.5381166,,22300,0.0006856674,6.856674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1966,1948036863,13000,0.00002388331,0.023883309999999998,0.5416667,,24000,0.00072027644,7.2027644,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1967,1994226633,8000,0.000014384585,0.014384585,0.3883495,,20600,0.0006029765,6.029765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1968,2042761361,8800,0.00001548098,0.015480980000000002,0.6769231,,13000,0.0003713485,3.713485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1969,2093665797,11800,0.000020304511,0.020304510999999997,0.91310066,,12923,0.00036060557,3.6060557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1970,2144906508,8500,0.000014305898,0.014305898,1.2065295,,7045,0.00019217531,1.9217531,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1971,2195423804,14976,0.000024652043,0.024652043000000002,1.1197847,,13374,0.00035667702,3.5667701999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1972,2245577141,7847,0.000012632148,0.012632148000000001,1.2293593,,6383,0.00016641946,1.6641946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1973,2296593872,8000,0.00001259186,0.01259186,1.1428572,,7000,0.0001784638,1.784638,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1974,2346946783,8500,0.000013080732,0.013080732,1.2142857,,7000,0.00017461239,1.7461239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1975,2395376069,9491,0.000014283746,0.014283746,1.1074679,,8570,0.00020934454,2.0934454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1976,2442681709,19000,0.00002797189,0.027971890000000003,0.8606242,,22077,0.0005281337,5.281337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1977,2489872409,43587,0.00006276852,0.06276852000000001,0.60477024,,72072,0.0016869609,16.869609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1978,2536783728,33862,0.000047697384,0.047697383999999995,0.66858846,,50647,0.0011598637,11.598637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1979,2584916791,15207,0.000020950652,0.020950652,0.8510746,,17868,0.00040062683,4.0062683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1980,2635334410,17488,0.000023556953,0.023556953,0.8997736,,19436,0.00042676434,4.2676434,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1981,2687793098,13442,0.000017702012,0.017702012,0.8768428,,15330,0.00032982335,3.2982335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1982,2742593626,8590,0.000011060101,0.011060101000000001,1.0067979,,8532,0.00017963584,1.7963584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1983,2797881469,6682,0.000008410775,0.008410775,0.9541625,,7003,0.0001440042,1.440042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1984,2853170213,11054,0.000013601974,0.013601974,0.87939537,,12570,0.00025250617,2.5250617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1985,2909856492,4786,0.0000057582943,0.005758294299999999,0.98416615,,4863,0.00009552756,0.9552755999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1986,2968294733,5490,0.00000645975,0.00645975,1.0159141,,5404,0.00010392476,1.0392476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1987,3028624604,3818,0.00000439442,0.0043944200000000004,0.61849993,,6173,0.00011622405,1.1622405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1988,3089224548,11130,0.000012534224,0.012534224,0.609529,,18260,0.0003366572,3.3665719999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1989,3149702853,3235,0.000003565291,0.003565291,0.38770375,,8344,0.00015075896,1.5075896,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1990,3210563750,5153,0.000005559386,0.0055593859999999995,0.5709695,,9025,0.000009736747,0.09736747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1991,3269054085,22538,0.000023812512,0.023812511999999997,0.83381426,,27030,0.000028558532,0.28558532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1992,3324377494,7048,0.000007294661,0.007294661,0.4299396,,16393,0.000016966711,0.16966711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1993,3378235529,3028,0.0000030708134,0.0030708133999999996,0.4362484,,6941,0.00000703914,0.0703914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1994,3431170953,14115,0.000014029597,0.014029597000000001,0.5573104,,25327,0.000025173758,0.25173758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1995,3483316665,28249,0.000027527565,0.027527565,0.47040898,,60052,0.000058518366,0.58518366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1996,3534544077,5346,0.0000051093893,0.0051093893,0.4476637,,11942,0.000011413455,0.11413455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1997,3585198287,11260,0.000010558297,0.010558297,0.3792395,,29691,0.00002784071,0.2784071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1998,3635442850,28316,0.000026058604,0.026058604,0.575318,,49218,0.000045294262,0.45294262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,1999,3685232690,32739,0.000029581737,0.029581737,0.3752579,,87244,0.00007883042,0.7883042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2000,3735089775,12211,0.000010836045,0.010836045,0.44282866,,27575,0.000024470062,0.24470062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2001,3785215058,22745,0.000019825273,0.019825273,0.49570656,,45884,0.000039993967,0.39993967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2002,3834687401,20074,0.000017192366,0.017192365999999997,0.3952664,,50786,0.000043495642,0.43495642,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2003,3883310793,54338,0.000045751895,0.045751895,0.54594046,,99531,0.00008380382,0.8380382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2004,3931402529,20042,0.000016597794,0.016597794,0.65815055,,30452,0.000025218844,0.25218844,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2005,3979329053,15836,0.000012907489,0.012907489,0.62170225,,25472,0.000020761529,0.20761529,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2006,4027291741,32272,0.000025908741,0.025908741,0.7647212,,42201,0.000033879984,0.33879983999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2007,4074998014,10747,0.000008503191,0.008503191,0.43438017,,24741,0.000019575456,0.19575456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2008,4122790915,12933,0.00001008921,0.010089210000000001,0.63907695,,20237,0.000015787162,0.15787162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2009,4171339685,36294,0.000027923505,0.027923505,0.73903483,,49110,0.000037783746,0.37783746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2010,4220041467,37500.06,0.000028456536,0.028456536,0.7216268,,51966,0.000039433868,0.39433868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2011,4268479060,46481.14,0.000034794324,0.034794324,0.8438076,,55085,0.000041234904,0.41234904,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2012,4317165429,5505.34,0.000004066136,0.004066136,0.40126383,,13720,0.000010133323,0.10133323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2013,4365286895,20852.09,0.000015198428,0.015198428,0.6419583,,32482,0.0000236751,0.236751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2014,4412496398,17834.39,0.000012832906,0.012832906,0.66429734,,26847,0.000019318017,0.19318017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2015,4458250376,32265.4,0.000022932098,0.022932098,0.52195024,,61817,0.000043935404,0.43935403999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2016,4502955714,19789.96,0.000013895009,0.013895009,0.6566012,,30140,0.000021162023,0.21162023000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2017,4547095064,16821.25,0.000011673426,0.011673426,0.70223135,,23954,0.000016623335,0.16623335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2018,4588802751,28556.87,0.000019604911,0.019604911,0.6297689,,45345,0.000031130327,0.31130327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asia,2019,4627738749,28915.33,0.000019650193,0.019650193,0.52479815,,55098,0.000037443337,0.37443337000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
