Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,11733.6,0.00015636795,0.15636795,,,,,,10083000,0.1343712,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,11796,0.00015341197,0.15341197,,,,,,10135000,0.13180996,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,11863.2,0.00015052388,0.15052388,,,,,,10191000,0.1293065,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,12020.4,0.00014870494,0.14870494,,,,,,10322000,0.12769395,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,13304.8,0.00016048481,0.16048481,,,,,,11559000,0.13942666,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,13613.8,0.00016009851,0.16009851,,,,,,11814000,0.13893284,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,13675,0.00015670939,0.15670939,,,,,,11865000,0.1359676,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,13778.2,0.00015387006,0.15387006,,,,,,11941000,0.13335286,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,13874.2,0.0001510343,0.1510343,,,,,,12021000,0.13086039,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,13949.8,0.00014805327,0.14805327,,,,,,12084000,0.12825099,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,15091.4,0.00015618558,0.15618558,,,,,,13187000,0.13647635,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,15179,0.00015330604,0.15330604,,,,,,13260000,0.13392438,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,15283.4,0.00015058975,0.15058975,,,,,,13347000,0.1315101,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,15587.8,0.00014966754,0.14966754000000002,,,,,,13624000,0.13081194,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,15955,0.00014898644,0.14898644,,,,,,13980000,0.13054405,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,16364.2,0.00014838163,0.14838163000000001,,,,,,14371000,0.13030839,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,16723.8,0.00014738248,0.14738248,,,,,,14689000,0.12945032,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,19083.8,0.00016350995,0.16350995,,,,,,16673000,0.14285421,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,21890.6,0.00018226425,0.18226425,,,,,,19029000,0.15843816,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,25141,0.00020327658,0.20327657999999998,,,,,,21744000,0.17581026,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,31446.2,0.00024690057,0.24690056999999999,,,,,,27016000,0.21211676,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,37029.8,0.0002825651,0.2825651,,,,,,31674000,0.24169634,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,40972.6,0.00030379798,0.30379798,,,,,,34962000,0.25923142,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,47487.8,0.00034195714,0.34195714,,,,,,40392000,0.29086065,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,55431.4,0.00038766608,0.38766608,,,,,,47012000,0.32878402,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,57481.4,0.0003905766,0.3905766,,,,,,48721000,0.33105114,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,59598.6,0.00039406717,0.39406716999999997,,,,,,50571000,0.33437648,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,61633.8,0.00039696426,0.39696426,,,,,,52268000,0.33664203,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,63657,0.00039932158,0.39932158,,,,,,53954000,0.33845446,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,65108.6,0.00039769552,0.39769551999999997,,,,,,55164000,0.33695203,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1991,655040869,68702.29,0.00040925044,0.40925044,,,,,,58187000,0.34661224,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1992,671931834,70541.39,0.00041029797,0.41029796999999996,,,,,,59741000,0.34747845,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1993,689140286,72461.17,0.00041180904,0.41180904,,,,,,61361000,0.34872493,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1994,706488557,72942.23,0.0004071891,0.4071891,,,,,,61781000,0.3448832,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1995,724331972,73027.05,0.00039972214,0.39972214,,,,,,61874000,0.3386746,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1996,742765067,74275.25,0.00039555406,0.39555406,,,,,,62954000,0.33526254,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1997,761224818,73680.78,0.00038214927,0.38214927,,,,,,62472000,0.32401434,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1998,779908311,73092.08,0.00037060987,0.37060987,,,,,,62003000,0.31438324,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1999,799099611,74944.39,0.0003718132,0.3718132,,,,,,63817000,0.31660813,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2000,818952374,75081,0.0003643344,0.3643344,,,,,,63881000,0.30998582,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2001,839464127,75007,0.00035562614,0.35562614,,,,,,63666000,0.30185574,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2002,860611762,75480,0.00034951462,0.34951462,,,,,,64021000,0.29645303,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2003,882349569,78589,0.000355455,0.355455,,,,,,67081000,0.30340475,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,2004,904781595,79405,0.00035076623,0.35076623,,,,,,67956000,0.30019104,,,,,,,,,,,,,,,,,,,,,,,,,,
