Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,20000,0.0002809139,0.2809139,0.4,,50000,0.00070228474,7.022847400000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,20000,0.00027480864,0.27480864,0.4,,50000,0.0006870216,6.870216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,20000,0.0002687403,0.2687403,0.4,,50000,0.0006718507,6.718507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,20000,0.00026272278,0.26272278,0.4,,50000,0.0006568069,6.568069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,20000,0.00025674724,0.25674724,0.4,,50000,0.00064186804,6.4186804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,20000,0.00025071876,0.25071876,0.4,,50000,0.0006267969,6.267969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,20000,0.0002446219,0.24462190000000003,0.4,,50000,0.00061155466,6.1155466,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,20000,0.00023858772,0.23858772,0.4,,50000,0.0005964693,5.964693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,20000,0.00023267342,0.23267342,0.4,,50000,0.0005816836,5.816836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,20500,0.00023264793,0.23264793,0.4019608,,51000,0.00057878264,5.787826399999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
