Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,29000,0.00059536507,0.5953650699999999,0.537037,,54000,0.0011086109,11.086109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,28800,0.00057762436,0.57762436,0.53038675,,54300,0.0010890627,10.890627,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,29600,0.000579973,0.579973,0.52762926,,56100,0.0010992056,10.992056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,29700,0.0005684883,0.5684883000000001,0.52196836,,56900,0.0010891241,10.891240999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,30100,0.0005625906,0.5625905999999999,0.5171821,,58200,0.0010877998,10.877998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,30600,0.00055838964,0.55838964,0.51602024,,59300,0.001082108,10.82108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,31600,0.00056291814,0.5629181400000001,0.52666664,,60000,0.0010688319,10.688319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,33200,0.00057698943,0.57698943,0.5407166,,61400,0.0010670829,10.670829000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,34720,0.0005883273,0.5883273,0.55730337,,62300,0.0010556679,10.556679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,36820,0.0006083683,0.6083683,0.58259493,,63200,0.0010442389,10.442388999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
