Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1961,8790140,50,0.0000056881913,0.0056881913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1962,8969055,50,0.000005574723,0.005574723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1963,9157463,50,0.0000054600273,0.0054600273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1964,9355510,50,0.000005344444,0.005344444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1965,9565154,50,0.000005227307,0.005227307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1966,9783153,50,0.000005110827,0.005110827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1967,10010037,50,0.0000049949867,0.0049949867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1968,10247782,50,0.0000048791044,0.0048791044000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1969,10494491,45,0.000004287964,0.004287964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1970,10752973,45,0.0000041848893,0.0041848893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1971,11015853,44,0.0000039942433,0.003994243299999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1972,11286753,34,0.000003012381,0.0030123809999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1973,11575308,50,0.0000043195396,0.0043195396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1974,11869881,50,0.000004212342,0.004212342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1975,12157390,50,0.000004112725,0.004112724999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1976,12425276,110,0.000008852922,0.008852922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1977,12687308,50,0.0000039409465,0.0039409465000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1978,12938864,60,0.0000046371924,0.0046371924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1979,12986378,50,0.0000038501885,0.0038501885000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1980,12486640,50,0.0000040042796,0.0040042796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1981,11155196,50,0.0000044822164,0.0044822164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1982,10088290,50,0.0000049562414,0.0049562414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1983,9951447,50,0.000005024395,0.005024395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1984,10243689,50,0.000004881054,0.004881054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1985,10512220,50,0.0000047563694,0.0047563694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1986,10448447,50,0.0000047854,0.0047853999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1987,10322767,50,0.0000048436627,0.004843662699999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1988,10383459,50,0.000004815351,0.004815351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1989,10673172,50,0.000004684643,0.0046846430000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1990,10694804,50,0.0000046751675,0.0046751675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1991,10745168,50,0.0000046532546,0.004653254599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1992,12057436,50,0.000004146819,0.004146819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1993,14003764,50,0.0000035704686,0.0035704686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1994,15455560,50,0.0000032350817,0.0032350816999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1995,16418911,50,0.000003045269,0.003045269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1996,17106600,50,0.0000029228486,0.0029228486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1997,17788818,50,0.0000028107545,0.0028107545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1998,18493134,50,0.000002703706,0.0027037059999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1999,19262854,50,0.0000025956695,0.0025956695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2000,19542986,50,0.0000025584627,0.0025584627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2001,19688634,50,0.0000025395364,0.0025395364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2002,21000258,50,0.0000023809232,0.0023809231999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2003,22645136,50,0.0000022079796,0.0022079796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2004,23553554,50,0.0000021228218,0.0021228218000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2005,24411196,50,0.0000020482405,0.0020482405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2006,25442946,50,0.0000019651811,0.0019651811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2007,25903306,50,0.0000019302556,0.0019302555999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2008,26427204,50,0.0000018919898,0.0018919897999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2009,27385310,50,0.0000018257964,0.0018257964000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2010,28189672,50,0.0000017736993,0.0017736993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2011,29249156,50,0.000001709451,0.001709451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2012,30466484,50,0.0000016411477,0.0016411477000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2013,31541216,50,0.0000015852274,0.0015852274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2014,32716214,45,0.0000013754648,0.0013754648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2015,33753500,50,0.0000014813279,0.0014813279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2016,34636212,49,0.0000014147043,0.0014147042999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2017,35643420,50,0.0000014027835,0.0014027835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2018,36686788,49,0.0000013356307,0.0013356307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2019,37769496,50,0.0000013238197,0.0013238197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2020,38972236,49,0.0000012573054,0.0012573054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,2021,40099460,50,0.0000012468996,0.0012468995999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1961,291177974,5,1.80194e-7,0.000180194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,4,1.4042465e-7,0.00014042465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,11,3.7612057e-7,0.00037612057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,12,3.9964496e-7,0.00039964496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,14,4.5427302e-7,0.00045427302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,10,3.163242e-7,0.0003163242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,10,3.0856182e-7,0.00030856182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,10,3.011628e-7,0.0003011628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,8,2.3532208e-7,0.00023532208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,9,2.587546e-7,0.0002587546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,10,2.812467e-7,0.0002812467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,11,3.0277363e-7,0.00030277362999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,3,8.0817266e-8,0.000080817266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,8,2.1091276e-7,0.00021091276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,10,2.5789424e-7,0.00025789424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,8,2.0177025e-7,0.00020177025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,6,1.4786572e-7,0.00014786572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,5,1.2025984e-7,0.00012025983999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,8,1.8765046e-7,0.00018765045999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,7,1.600053e-7,0.0001600053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,5,1.1135963e-7,0.00011135962999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,5,1.08486574e-7,0.000108486574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,5,1.05588434e-7,0.000105588434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,5,1.0271909e-7,0.00010271909000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
