Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,33000,0.00080262334,0.80262334,12.313433,,2680,0.00006518274,0.6518274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,31000,0.00073385454,0.73385454,13.716814,,2260,0.000053500364,0.53500364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,32000,0.00073701004,0.73701004,14.159292,,2260,0.000052051335,0.52051335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,32200,0.0007213627,0.7213627,13.644068,,2360,0.000052870062,0.5287006200000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,45550,0.0009923665,0.9923664999999999,14.323899,,3180,0.00006928047,0.6928047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,46907,0.0009936484,0.9936484000000001,14.090418,,3329,0.00007051944,0.7051944,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,47660,0.0009816868,0.9816867999999999,13.169384,,3619,0.0000745431,0.7454310000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,63300,0.0012680375,1.2680375,14.72093,,4300,0.00008613841,0.8613841,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,55900,0.001089533,1.0895329999999999,14.710526,,3800,0.00007406485,0.7406485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,61500,0.0011669945,1.1669945,13.914027,,4420,0.00008387179,0.8387179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
