Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,590,0.0000069405983,0.006940598300000001,2.95,,200,0.0000027244814,0.027244814000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,633,0.0000072542975,0.0072542974999999996,3.165,,200,0.000002649696,0.02649696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,1059,0.000011819611,0.011819610999999999,4.236,,250,0.000003220512,0.03220512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,754,0.000008194144,0.008194144,3.016,,250,0.0000031313475,0.031313475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,945,0.000009998086,0.009998086,3.78,,250,0.0000030437016,0.030437016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,893,0.000009193698,0.009193697999999998,3.572,,250,0.0000029579373,0.029579373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,698,0.0000069891807,0.0069891807,3.49,,200,0.0000022996032,0.022996032000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,788,0.000007674608,0.007674607999999999,3.94,,200,0.0000022350046,0.022350046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,906,0.000008585115,0.008585114999999999,3.624,,250,0.0000027161966,0.027161966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,992,0.000009149779,0.009149778999999999,3.968,,250,0.0000026420914,0.026420913999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,980,0.000008804861,0.008804860999999999,3.92,,250,0.0000025722313,0.025722313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,1687,0.000014769932,0.014769932,4.2175,,400,0.0000040088685,0.040088685000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,2519,0.000021490147,0.021490147,5.476087,,460,0.00000449087,0.0449087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,2532,0.000021048749,0.021048749000000002,5.4218416,,467,0.0000044417566,0.044417566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,2976,0.000024070418,0.024070418,4.7388535,,628,0.0000058195274,0.058195274000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,3008,0.00002364221,0.02364221,4.571429,,658,0.0000059424065,0.059424065000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,2978,0.000022772576,0.022772576,4.525836,,658,0.000005790361,0.057903609999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,3077,0.000022917931,0.022917931000000002,4.6691957,,659,0.000005650394,0.05650394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,2901,0.000021036794,0.021036793999999998,4.4088144,,658,0.000005495503,0.05495503,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,5267,0.00003709238,0.03709238,4.8859,,1078,0.000008745923,0.08745923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,5281,0.000036100137,0.036100137,4.8943467,,1079,0.000008500335,0.08500334999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,7370,0.000048951963,0.048951963,6.773897,,1088,0.00000833361,0.0833361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,12555,0.00008098302,0.08098301999999999,7.9714284,,1575,0.000011723078,0.11723077999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
