Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1961,8790140,42400,0.0048235864,4.8235864,11.987599,,3537,0.00040238266,4.0238266,,,,,,,,,42000,0.004778081,4.778081,,,,0,0,0,,,,,,,,,,,
,Afghanistan,1962,8969055,60456,0.0067405095,6.7405095,16.793299,,3600,0.00040138006,4.0138006,,,,,,,,,60000,0.006689668,6.689668,,,,0,0,0,,,,,,,,,,,
,Afghanistan,1963,9157463,56225,0.006139801,6.139801,15.618099,,3600,0.00039312197,3.9312196999999998,,,,,,,,,56000,0.0061152307,6.1152307,,,,0,0,0,,,,,,,,,,,
,Afghanistan,1964,9355510,31000,0.0033135554,3.3135554,8.8571,,3500,0.00037411108,3.7411108,,,,,,,,,31000,0.0033135554,3.3135554,,,,0,0,0,,,,,,,,,,,
,Afghanistan,1965,9565154,56000,0.0058545843,5.8545843,14,,4000,0.0004181846,4.181846,,,,,,,,,56000,0.0058545843,5.8545843,,,,0,0,0,,,,,,,,,,,
,Afghanistan,1966,9783153,56000,0.005724126,5.724126,14,,4000,0.00040886615,4.088661500000001,,,,,,,,,56000,0.005724126,5.724126,,,,16000,0.0016354646,1.6354646000000002,,,,,,,,,,,
,Afghanistan,1967,10010037,67000,0.006693282,6.693282,14.8889,,4500,0.0004495488,4.495488,,,,,,,,,67000,0.006693282,6.693282,,,,23000,0.0022976939,2.2976938999999996,,,,,,,,,,,
,Afghanistan,1968,10247782,62000,0.00605009,6.05009,13.7778,,4500,0.0004391194,4.391194,,,,,,,,,62000,0.00605009,6.05009,,,,31000,0.003025045,3.025045,,,,,,,,,,,
,Afghanistan,1969,10494491,68000,0.00647959,6.47959,14.782599,,4600,0.00043832522,4.383252199999999,,,,,,,,,68000,0.00647959,6.47959,,,,28000,0.0026680664,2.6680664,,,,,,,,,,,
,Afghanistan,1970,10752973,62000,0.0057658474,5.7658474,14.090899,,4400,0.00040918918,4.0918918,,,,,,,,,62000,0.0057658474,5.7658474,,,,9000,0.00083697785,0.83697785,,,,,,,,,,,
,Afghanistan,1971,11015853,60000,0.0054466957,5.4466957,13.636399,,4400,0.00039942435,3.9942435,,,,,,,,,60000,0.0054466957,5.4466957,,,,13000,0.0011801174,1.1801173999999999,,,,,,,,,,,
,Afghanistan,1972,11286753,63300,0.0056083445,5.6083445,13.7609,,4600,0.00040755744,4.0755744,,,,,,,,,63000,0.005581765,5.581765,,,,13000,0.0011517927,1.1517927000000001,,,,,,,,,,,
,Afghanistan,1973,11575308,57000,0.004924275,4.924275,12.666699,,4500,0.00038875855,3.8875854999999997,,,,,,,,,57000,0.004924275,4.924275,,,,6000,0.00051834475,0.51834475,,,,,,,,,,,
,Afghanistan,1974,11869881,66600,0.00561084,5.61084,14.799999,,4500,0.0003791108,3.791108,,,,,,,,,67000,0.0056445384,5.6445384,,,,0,0,0,,,,,,,,,,,
,Afghanistan,1975,12157390,108500,0.008924613,8.924612999999999,21.699999,,5000,0.0004112725,4.112725,,,,,,,,,109000,0.00896574,8.96574,,,,0,0,0,,,,,,,,,,,
