Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,56315,0.0004478184,0.44781839999999995,0.8537621,,65961,0.00052452367,5.2452366999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,61519,0.00047686385,0.47686385000000003,0.8403891,,73203,0.00056743226,5.6743226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,63596,0.0004803695,0.48036949999999995,0.8381791,,75874,0.0005731108,5.731108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,66604,0.00049000734,0.49000734,0.8648859,,77009,0.0005665572,5.665572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,72418,0.00051872054,0.51872054,0.8967396,,80757,0.00057845167,5.7845167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,90272,0.0006294326,0.6294326,1.048967,,86058,0.00060004997,6.0004997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,86111,0.0005843278,0.5843278,0.9544452,,90221,0.00061221723,6.1221723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,100736,0.0006649928,0.6649928,1.0329567,,97522,0.0006437761,6.437761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,114363,0.0007343173,0.7343173,1.0711255,,106769,0.0006855567,6.855567,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,121398,0.00075836416,0.75836416,1.0556623,,114997,0.0007183776,7.183776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,119437,0.0007261284,0.7261284,0.960282,,124377,0.0007561616,7.561616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,151578,0.00089736324,0.89736324,1.1356795,,133469,0.0007901554,7.901554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,157667,0.0009086383,0.9086383,1.1101747,,142020,0.0008184643,8.184643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,153865,0.00086253334,0.86253334,1.0420928,,147650,0.00082769344,8.2769344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,154792,0.00084398617,0.84398617,1.0277125,,150618,0.0008212279,8.212279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,160838,0.00085296866,0.85296866,1.0070375,,159714,0.0008470078,8.470078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,198731,0.0010254796,1.0254796,1.1605272,,171242,0.0008836326,8.836326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,205356,0.0010315013,1.0315013000000002,1.1401635,,180111,0.00090469595,9.0469595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,206032,0.0010078284,1.0078284,1.2286187,,167694,0.00082029385,8.2029385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,200307,0.0009539551,0.9539551,1.1799145,,169764,0.00080849516,8.0849516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,199988,0.00092483556,0.92483556,1.1668729,,171388,0.0007925761,7.925761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,214481,0.00096416916,0.96416916,1.2511141,,171432,0.0007706484,7.706484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,225590,0.0009854056,0.9854056,1.3043126,,172957,0.000755498,7.55498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,235080,0.0009983093,0.9983093000000001,1.3481135,,174377,0.0007405232,7.405232000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,270108,0.001116226,1.116226,1.5392523,,175480,0.00072517415,7.2517415000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,260373,0.0010454142,1.0454142,1.5278044,,170423,0.0006842592,6.842592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,267240,0.0010407495,1.0407495,1.5597605,,171334,0.00066724955,6.6724955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,283915,0.001072042,1.072042,1.642884,,172815,0.00065253663,6.5253663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,308333,0.0011288741,1.1288741,1.7518523,,176004,0.0006443889,6.4438889999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
