Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Africa,1961,291177974,6709.4,0.00009108349,0.09108349,,,,,,1425000,0.016619276,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1962,298334455,7009.55,0.00009284154,0.09284154,,,,,,1510000,0.01717765,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1963,305755585,7259.7,0.00009379229,0.09379229,,,,,,1585000,0.017585985,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1964,313466087,7559.85,0.00009520976,0.09520976,,,,,,1670000,0.01806454,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1965,321447378,7860,0.000096503325,0.096503325,,,,,,1756000,0.018517375,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1966,329658389,8630.15,0.00010327155,0.10327155,,,,,,1896000,0.019484913,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1967,338159967,8414.3,0.00009807448,0.09807448,,,,,,1917000,0.019188276,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1968,346980412,8924.45,0.00010132927,0.10132927,,,,,,2072000,0.020202052,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1969,356070643,9464.06,0.00010471063,0.10471063,,,,,,2233000,0.02121414,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1970,365450443,9934.2,0.0001071468,0.1071468,,,,,,2383000,0.022066828,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1971,375086296,10435.5,0.00010976582,0.10976582,,,,,,2536000,0.022898857,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1972,384930776,10936.8,0.000112311274,0.112311274,,,,,,2689000,0.023699813,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1973,395212420,11437.1,0.00011465245,0.11465245,,,,,,2842000,0.024448577,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1974,406069208,10677.76,0.00010437818,0.10437818,,,,,,2575000,0.021602139,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1975,417556976,11156.02,0.000106142215,0.106142215,,,,,,2727000,0.022273991,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1976,429573262,10756.92,0.000099466975,0.09946697500000001,,,,,,2591000,0.020579472,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1977,441701768,10783.74,0.00009705204,0.09705203999999999,,,,,,2595000,0.020066587,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1978,454463053,11887.5,0.000104282495,0.104282495,,,,,,2956000,0.022280324,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1979,467976240,12223.5,0.00010449422,0.10449422,,,,,,3045000,0.02236579,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1980,481543145,11095.5,0.00009212138,0.09212137999999999,,,,,,2646000,0.018883437,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1981,495655683,11602.5,0.00009352303,0.09352303,,,,,,2800000,0.019408239,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1982,510540596,11647.9,0.00009131605,0.09131605,,,,,,2750000,0.01854316,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1983,525335348,11961.5,0.00009114016,0.09114016,,,,,,2754000,0.01805543,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1984,540183119,13444.5,0.000099531746,0.09953174599999999,,,,,,3030000,0.019312307,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1985,555652995,16022.5,0.00011521523,0.11521523,,,,,,3693000,0.022880914,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1986,571646786,17471.5,0.000121980214,0.121980214,,,,,,4032000,0.024280865,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1987,588080029,17418.5,0.00011806547,0.11806546999999999,,,,,,3857000,0.022580318,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1988,604511530,18728.5,0.00012332389,0.12332388999999999,,,,,,4210000,0.023977,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1989,621167964,21605.5,0.00013833912,0.13833912,,,,,,4652000,0.025797736,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,1990,638157571,22126.5,0.0001379454,0.1379454,,,,,,4968000,0.030972486,,,,,,,,,,,,,,,,,,,,,,,,,,
