Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Afghanistan,1961,8790140,63000,0.0071671214,7.1671214,4.8462,,13000,0.0014789298,14.789298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1962,8969055,63000,0.0070241513,7.0241513,4.8462,,13000,0.001449428,14.49428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1963,9157463,66800,0.0072945966,7.294596599999999,5.1384997,,13000,0.0014196072,14.196072000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1964,9355510,70600,0.007546355,7.546355,5.4308,,13000,0.0013895555,13.895555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1965,9565154,72500,0.007579596,7.5795960000000004,5.5769,,13000,0.0013590999,13.590999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1966,9783153,74300,0.0075946883,7.5946883000000005,5.6717997,,13100,0.0013390366,13.390366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1967,10010037,80000,0.007991979,7.991979,6.6116,,12100,0.0012087867,12.087867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1968,10247782,82400,0.008040764,8.040764000000001,7.5596,,10900,0.0010636448,10.636448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1969,10494491,84600,0.008061373,8.061373,7.7615,,10900,0.0010386402,10.386402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1970,10752973,78800,0.0073282057,7.3282057,7.2293997,,10900,0.0010136731,10.136731,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1971,11015853,91400,0.008297133,8.297133,8.3853,,10900,0.0009894831,9.894831,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1972,11286753,83000,0.007353754,7.3537539999999995,7.6147,,10900,0.0009657339,9.657339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1973,11575308,85700,0.007403691,7.403690999999999,7.8623996,,10900,0.0009416596,9.416596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
