Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,Burundi,1961,2815976.0,8000.0,0.0028409334,2.8409334,0.9302,,8600.0,0.0030540032,30.540032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burundi,1962,2887397.0,8000.0,0.0027706616,2.7706616,0.9302,,8600.0,0.0029784613,29.784613,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burundi,1963,2948131.0,8100.0,0.0027475033,2.7475033,0.931,,8700.0,0.0029510222,29.510222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burundi,1964,3033227.0,8200.0,0.0027033915,2.7033915,0.93179995,,8800.0,0.0029012007,29.012007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burundi,1965,3118139.0,8000.0,0.0025656328,2.5656328,0.94119996,,8500.0,0.002725985,27.259850000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burundi,1966,3193389.0,8100.0,0.0025364903,2.5364903,0.9205,,8800.0,0.0027556932,27.556932,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burundi,1967,3274496.0,8300.0,0.0025347413,2.5347413000000003,0.92219996,,9000.0,0.0027485145,27.485145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burundi,1968,3352406.0,8500.0,0.0025354924,2.5354924,0.94439995,,9000.0,0.002684639,26.84639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burundi,1969,3424431.0,8400.0,0.0024529623,2.4529623000000003,0.93329996,,9000.0,0.002628174,26.28174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burundi,1970,3497842.0,8800.0,0.0025158369,2.5158369,0.88,,10000.0,0.0028589056,28.589056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burundi,1971,3582080.0,8994.0,0.0025108317,2.5108317,0.8818,,10200.0,0.0028475076,28.475076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burundi,1972,3579196.0,8095.0,0.002261681,2.2616810000000003,0.8994,,9000.0,0.0025145311,25.145311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burundi,1973,3571455.0,9192.0,0.002573741,2.573741,0.9676,,9500.0,0.0026599802,26.599802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burundi,1974,3660036.0,7354.0,0.0020092698,2.0092698,0.8171,,9000.0,0.0024589922,24.589922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burundi,1975,3749235.0,9284.0,0.0024762384,2.4762384,0.9284,,10000.0,0.0026672108,26.672108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burundi,1976,3830894.0,9600.0,0.0025059425,2.5059425,0.96,,10000.0,0.0026103568,26.103568000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
